写真,id0
バルコニー,id1
芦屋,id2
スペース,id1066
カバー,id749
通路,id5
若い,id6
経営,id7
レ,id8
歌,id9
買い物,id10
浴室,id11
和食,id12
装飾,id762
指導,id13
義父,id925
支払,id14
許可,id15
街,id108
特定,id17
電話,id935
ダンス,id753
可能,id961
やすい,id20
エレベーター,id21
歯,id22
中心,id23
機能,id16
解放,id25
早い,id707
範囲,id1090
庭園,id27
裕福,id28
バス停,id29
魅力,id1093
好き嫌い,id30
ありがたい,id31
隣,id32
具体的,id988
住居,id33
大切,id34
提携,id35
質,id36
老人,id37
美しい,id38
お見舞い,id293
広い,id40
抜群,id41
最寄り,id939
雰囲気,id43
正直,id44
面会,id46
清潔感,id47
条件,id48
公園,id400
ロング,id50
演奏家,id51
満足度,id52
不便,id53
面倒,id54
プラン,id56
周囲,id196
同士,id58
体調,id59
設定,id61
流動食,id62
力,id63
人,id64
つくり,id508
聖,id65
専用,id66
レクリエーション,id67
となり,id68
わがまま,id69
段差,id70
ソファ,id71
朝食,id72
料理長,id73
銀行口座,id74
本数,id335
高齢,id76
月額,id77
周辺,id78
普通,id79
オシャレ,id80
快適,id81
好き,id82
道路,id83
当方,id84
商業施設,id85
親身,id86
充分,id87
プライベート,id586
機会,id89
あいさつ,id947
程度,id857
サービス,id91
暗い,id92
記憶,id93
ゆとり,id94
アットホーム,id95
相応,id96
連絡,id803
不安,id97
場所,id98
夕食,id99
ホテルマン,id100
マンション,id101
状況,id103
入院,id105
回答,id106
景色,id107
祭り,id956
送迎,id111
エントランス,id112
天気,id113
メニュー,id1022
完備,id686
ピカ,id115
出費,id116
個人的,id117
声,id118
計算,id119
入り口,id120
希望,id121
年,id1078
好感,id123
協力,id124
ショップ,id125
エリア,id126
納得,id127
外出,id128
遜色,id129
綺麗,id130
最初,id131
いす,id412
ひな祭り,id134
作り,id1118
日本,id135
バリアフリー,id413
一流,id614
高齢者,id137
看護,id138
仲間,id139
教室,id140
素材,id141
先生,id142
ヨガ,id143
建物,id595
駐車場,id146
ランチ,id147
お花見,id148
REC,id149
参加,id597
確か,id152
管理,id154
知り合い,id155
洋風,id156
妻,id157
来訪,id158
企画,id159
最低,id161
自立,id163
ロイヤル,id164
心強い,id165
演出,id166
珍しい,id167
東京,id170
妥当,id171
にこやか,id172
心配,id24
館内,id174
持病,id175
印象,id778
意識,id177
案内,id1006
一緒に,id179
カラオケ,id180
眺め,id418
身なり,id182
土地,id959
人数,id183
間取り,id184
開放,id185
頻繁,id186
井荻駅,id187
冬,id188
大浴場,id189
住宅地,id190
処方,id191
ロビー,id782
身の回り,id192
中銀ライフケア,id963
腕,id195
お迎え,id1005
食欲,id197
サロン,id198
タクシー,id199
種類,id200
大通り,id201
たま,id202
オススメ,id203
認知,id921
高め,id602
待機,id206
迅速,id207
個々,id208
旬の食材,id210
額,id211
内部,id212
徒歩,id815
物件,id388
想定内,id214
残念,id1079
住環境,id215
改善,id216
クラブ活動,id1099
東川口駅,id217
四季,id218
トラブル,id219
一つ,id423
自然,id221
顔,id222
都会,id223
応対,id224
不明,id225
年齢,id425
一見,id228
花,id229
洗濯,id230
ライフ,id231
居,id232
駅前,id233
勤務,id234
活用,id235
カフェ,id236
誕生日,id237
刻み,id333
陶芸,id336
便利,id340
医療,id242
契約,id243
高額,id244
方々,id245
全館,id246
阪急,id247
担当,id248
女性,id249
気持ち,id1069
味,id251
回り,id252
有料,id253
窓,id39
発生,id255
防犯,id256
昼食,id257
春,id258
クオリティ,id259
あと,id261
感心,id262
大丈夫,id263
食費,id264
照明,id974
気配り,id266
近い,id267
高級,id268
囲碁,id269
内装,id975
池,id500
運動,id272
金額,id613
パン,id274
心,id276
夜間,id277
問い合わせ,id278
趣味,id279
苦情,id280
退屈,id281
開放的,id282
なかった,id284
銀行,id285
要素,id1105
道,id286
ペット,id288
月,id289
眺望,id290
数,id291
爽やか,id292
保育園,id294
随所,id295
積極的,id297
お話し,id298
支給,id299
見た目,id300
阪神,id301
大阪,id302
せり,id303
配置,id304
ヒーター,id305
横浜,id306
胃ろう,id307
づらい,id309
価格,id310
本,id312
優しい,id313
説明,id314
公共交通機関,id984
忙しい,id317
祖母,id318
椅子,id671
外観,id319
お正月,id320
メイン,id321
友達,id322
便,id986
対策,id325
理解,id283
横浜市,id327
不自由,id328
清掃,id329
延長,id296
利用,id331
食材,id332
ジム,id239
往診,id438
共有,id240
保護,id337
場面,id339
辛い,id241
気分転換,id1010
記載,id1003
提供,id343
ごはん,id344
くだ,id345
介護施設,id441
暖かい,id347
魅力的,id808
教育,id624
相違,id55
多彩,id351
プログラム,id194
非常,id354
相談,id355
毎日,id442
印象的,id357
会社,id358
開催,id625
静か,id361
プール,id362
年寄り,id363
交通量,id991
動き,id365
様子,id366
リビング,id627
シェフ,id992
面接,id316
世田谷,id370
団地,id371
申し分,id372
意味,id373
デザイン,id104
心配り,id238
階,id376
インターホン,id723
使い勝手,id378
値段,id379
数多い,id380
洗濯機,id381
口座,id382
暮らし,id383
介助,id994
低価格,id386
小田急線,id387
音,id995
確保,id814
新築,id391
図書館,id392
スケジュール,id394
南,id395
最寄駅,id396
健康,id397
子供,id398
月々,id399
それなり,id49
狭い,id401
掃除,id1095
おすすめ,id402
ナースコール,id403
ゴージャス,id404
盛ん,id405
品,id635
浜,id407
ワタミ,id408
鑑賞,id409
いい,id410
お世話,id788
最寄り駅,id411
プライバシー,id133
コール,id136
計画,id414
総合,id866
強い,id742
盛り,id415
自体,id254
診療所,id416
おしゃれ,id417
海,id181
談笑,id419
にくい,id420
十分,id421
看護士,id220
幸せ,id424
悪い,id227
踊り,id824
風景,id427
処置,id428
遠方,id1001
1日,id430
程よい,id431
ベッド,id432
ベット,id433
週,id434
一年,id458
娯楽,id145
アクティビティ,id334
洋室,id439
サポート,id440
材料,id346
システム,id783
ホームセンター,id356
バス,id443
川,id444
家庭,id445
元気,id446
薬局,id447
素敵,id448
コーラス,id449
年金,id377
用賀駅,id451
ラウンジ,id460
穏やか,id453
言葉,id454
きつい,id455
合計,id204
いろいろ,id330
一言,id1008
手,id1048
重厚,id452
叔母,id461
親戚,id756
逆,id462
食品,id463
相当,id464
概算,id465
リゾートホテル,id467
ご飯,id520
美味しい,id470
活き活き,id646
男性,id457
排泄,id1082
存在,id75
清々しい,id476
収納,id477
日,id913
洋食,id479
郊外,id480
制度,id481
時点,id895
試食,id482
さまざま,id483
高層,id484
桜,id834
交流,id831
ヨーロッパ,id487
キッチン,id488
優雅,id489
最後,id490
夫婦,id835
スムーズ,id494
食べ物,id495
訪問,id496
コスト,id497
定期的,id498
手入れ,id499
医療機関,id501
L・DK,id502
並木,id503
完璧,id504
病気,id505
前面,id506
文句,id507
歯科,id132
品数,id509
他,id510
たたずまい,id511
仕方がない,id512
知人,id513
方途,id514
本格的,id515
相場,id516
事前,id581
厳しい,id517
消耗品,id518
花見,id519
調度,id521
ホール,id522
きれいな,id523
ホーム,id524
喫茶,id525
検討,id526
付き添い,id169
レベル,id349
ナイト,id529
緊急,id530
無い,id1098
仲,id531
成城学園前,id532
クラブ,id533
興味,id534
びっくり,id535
バランス,id536
お酒,id537
ガラス,id3
催し物,id539
独立,id540
個室,id541
万全,id474
自室,id543
プロ,id544
居住者,id545
グループ,id546
徒歩圏内,id547
要介護,id548
準備,id549
料理人,id550
手厚い,id551
治療,id552
地域,id553
好み,id554
整備,id311
引き落とし,id556
仕事,id557
室内,id558
屋上,id559
日常,id560
自宅,id561
テーブル,id562
フロア,id563
笑顔,id564
常食,id565
確認,id566
敬老会,id567
書道,id168
料金,id569
秋,id571
頭,id572
父,id573
宿泊,id574
の・ようなもの,id1027
うれしい,id576
診療,id990
表情,id577
JR,id578
介護食,id579
庭,id580
当たり,id57
食,id582
上品,id583
自動車,id584
形態,id585
中央,id88
隅々,id1029
異変,id932
資料,id110
遠足,id590
有難い,id871
職員,id591
新しい,id592
身体,id593
店,id594
話し相手,id144
身,id645
安心感,id151
情報,id847
重視,id1101
インテリア,id374
カロリー,id599
最高,id661
生活,id601
感,id205
急変,id209
和やか,id604
診察,id605
一人暮らし,id663
ヴィンテージ,id608
野菜,id609
体験,id610
ライブラリー,id611
開設,id260
お茶,id273
タイプ,id287
思い,id615
催し,id1036
特徴,id617
細やか,id666
スポーツ,id620
富士山,id475
センター,id621
Villa,id623
紅葉狩り,id153
不満,id360
臭い,id626
自然環境,id367
感知,id628
病院,id629
図書,id630
手芸,id840
インター,id632
距離,id633
正しい,id406
ドア,id853
緊急時,id637
品川駅,id638
防音,id639
挨拶,id640
主,id641
家賃,id642
定期,id643
膳,id644
配慮,id471
見学,id1041
中,id647
面,id648
和室,id649
京王,id650
間,id651
母,id652
レストラン,id1042
寝たきり,id654
献立,id656
都内,id657
運営,id658
交通,id659
安全,id660
光,id600
上,id603
港区,id606
ポイント,id665
飲食店,id619
両親,id667
多摩川,id668
推測,id669
手作り,id436
支払い,id672
車椅子,id673
かなり,id1020
無料,id674
コンビニ,id862
母親,id675
使用,id677
寂しい,id678
喫煙,id468
各階,id680
日常生活,id681
接客,id682
演奏,id683
旅行,id684
おおい,id685
年配,id761
大きい,id687
コンシェルジュ,id688
嬉しい,id689
日帰り,id275
リーズナブル,id691
バスツアー,id692
訪問者,id693
コンサート,id694
回数,id695
寒い,id696
ショッピングセンター,id697
同行,id698
気兼ね,id699
平均,id700
口,id702
欲しい,id703
運動会,id704
盛りだくさん,id385
社交ダンス,id706
駅,id897
お話,id708
折り紙,id709
映画,id710
基本,id711
温かい,id712
手頃,id713
多め,id714
簡単,id716
苦手,id1054
マイカー,id717
天然,id679
大会,id718
請求,id719
少ない,id721
サークル,id887
オープン,id724
紅葉,id725
信頼,id726
外科,id727
会話,id728
移動,id869
様々,id730
飲み物,id731
電車,id732
措置,id733
演奏会,id734
情報誌,id735
通常,id736
最適,id737
勘違い,id437
常駐,id738
特別,id739
把握,id740
業務,id741
薄い,id45
必要,id743
考慮,id493
祖父母,id745
贅沢,id271
住宅,id747
祖父,id748
形,id4
ツアー,id750
そば,id751
車いす,id752
露天風呂,id19
味付け,id872
温泉,id631
紹介,id226
管理費,id757
ルーム,id767
感想,id758
内容,id759
選択,id760
会食,id676
世間,id393
感覚,id763
高い,id764
日替わり,id102
おむつ,id790
量,id114
クリーニング,id768
細かい,id769
在中,id770
理学療法士,id771
変化,id772
至便,id773
リハビリ,id774
音楽,id775
適切,id776
駐車,id777
寝室,id176
閑静,id779
遠い,id780
娘,id781
スーパー,id390
判断,id150
美容院,id784
居心地,id785
研修,id786
短歌,id787
マナー,id690
胃瘻,id789
テラス,id705
手洗い,id792
低い,id720
近所,id794
拝見,id795
支援,id796
一般的,id797
サイズ,id798
手すり,id800
ケーキ,id801
オーケー株式会社,id802
部分,id326
要望,id804
大学,id805
素晴らしい,id596
収入,id348
おいしい,id1062
一緒,id809
騒音,id766
安い,id811
質問,id812
中庭,id813
やさしい,id389
覚悟,id323
生活環境,id816
季節感,id817
大変,id818
糖尿病,id1076
基本的,id821
IH,id822
高級住宅街,id823
別,id426
本人,id825
規模,id882
老人ホーム,id1085
必用,id827
幅広い,id807
神鋼,id828
ドラッグストア,id1059
予約,id829
自由,id830
井草森公園,id473
体,id832
万が一,id1068
お仕事,id485
医師,id1074
注文,id492
大型,id478
寿司,id837
具合,id838
空間,id839
軽い,id250
フロント,id841
コミュニケーション,id842
ボタン,id486
経費,id570
入浴,id845
内科,id846
透析,id598
七夕,id848
各種,id849
卓球,id1073
シャンデリア,id851
同様,id1087
パフォーマンス,id852
楽しい,id937
向かい,id636
大勢,id527
100人,id856
充実,id528
カルチャー,id858
中間,id859
面談,id861
増尾駅,id622
散歩,id863
農園,id864
住宅街,id865
ケアマネ,id855
花火,id588
電子レンジ,id868
義母,id729
一室,id870
クリニック,id618
薬,id793
患者,id754
楽,id873
総合病院,id1011
ケア,id875
車,id876
食器,id791
テレビ,id878
名前,id879
実施,id880
居住,id881
用意,id1049
麻雀,id826
ほしい,id883
居宅,id884
きれい,id890
すごい,id886
ダイニング,id844
親族,id888
来客,id889
誕生,id885
特別養護老人ホーム,id891
特養,id892
搬送,id162
洋服,id894
目,id350
こだわり,id896
フロアー,id722
歩行,id538
居室,id899
料理,id893
シアター,id901
メリット,id902
天井,id903
グランドピアノ,id122
調理,id905
制限,id906
茶色,id907
努力,id341
入所,id909
食堂,id910
チャペル,id911
歓談,id912
専属,id765
神戸市,id914
センサー,id915
冷蔵庫,id916
楽しみ,id917
位置,id918
別荘,id919
豪華,id920
立派,id922
専門,id923
ボランティア,id924
ストレッチ,id898
連携,id926
気軽,id542
身内,id928
商店街,id929
お願い,id900
洗面,id930
距離感,id931
独特,id670
お出かけ,id934
維持,id18
大手,id936
外,id26
匂い,id938
自分,id42
併設,id940
周り,id941
売店,id942
パーティー,id943
吹き抜け,id634
話,id945
嫌,id946
気持ちよい,id90
通院,id948
ビリヤード,id949
夏祭り,id950
映画鑑賞,id951
ヘルパー,id952
礼儀,id953
手続き,id954
夜勤,id955
経済的,id338
住まい,id957
24時間,id958
刺激,id456
近隣,id904
気分,id960
人気,id193
体制,id962
ＡＴＭ,id964
チェック,id965
余裕,id589
定員,id966
モノレール,id60
設計,id968
関連,id969
ワンルーム,id970
行事,id971
次,id972
巡回,id998
白,id973
方法,id265
サウナ,id270
状態,id976
用賀,id977
成城学園,id308
おやつ,id979
ミキサー,id980
希望が丘,id981
すばらしい,id982
運行,id983
薄味,id908
体操,id985
ホスピタリティ,id324
入れ替わり,id987
自由度,id867
受診,id989
広め,id352
常勤,id364
複雑,id368
比較,id993
足,id384
医者,id612
期間,id836
豊か,id996
通り,id997
風呂,id555
室,id999
トイレ,id1000
木々,id854
敷地,id429
多目的ホール,id1002
栄養,id369
小さい,id435
設置,id178
遊び,id1007
介護保険,id459
にぎやか,id1009
家,id469
満足,id472
玄関,id1012
お金,id1013
クリスマス,id1014
トレーニング,id1015
外部,id1016
当たり前,id944
細か,id1017
予定,id1018
認知症,id1019
友人,id342
近,id1021
シンプル,id820
豊富,id1023
期待,id1024
飽き,id1025
全員,id1026
都市銀行,id575
良好,id173
姿,id1028
清潔,id587
弁当,id1030
物足りない,id1031
テナント,id1032
空き,id1033
活動,id1034
路線バス,id1035
夏,id933
複数,id967
ＪＲ,id616
訓練,id1037
キレイ,id1038
詳しい,id1004
区立,id1040
イメージ,id1106
共同,id359
床暖房,id653
家具,id1043
無理,id1089
減塩,id1044
目的,id1045
方,id1046
都心,id1047
フローリング,id375
健康診断,id819
団らん,id1050
私たち,id1051
Creation,id1052
幅,id1053
配膳,id799
交通手段,id1055
スカイラウンジ,id1056
有名,id1058
付属,id1108
冷たい,id755
栄養士,id1060
気,id1061
評価,id466
我が家,id1063
有料老人ホーム,id1064
造り,id1065
負担,id607
明るい,id1067
アクセス,id662
古い,id833
明確,id715
丁寧,id1070
ヨットハーバー,id1071
立地,id1072
好評,id850
水準,id450
共用,id1075
リラックス,id860
個人,id1077
長い,id160
圧迫,id877
完全,id1080
洗練,id927
健康的,id1081
単位,id1083
価値,id1084
マリアンナ,id655
親切,id1086
受付,id568
季節,id746
感謝,id1088
域,id664
重要,id109
ベランダ,id1116
難しい,id1092
印象派,id874
緑,id1094
成城,id422
定食,id1096
隣接,id1097
糖尿,id353
管理栄養士,id701
皆さん,id1100
ヨーロピアン,id315
関係,id1102
利用者,id1103
設備,id1104
色々,id806
環境,id744
工夫,id1107
気持ち良い,id1057
割高,id1109
佇まい,id1110
年間,id1111
家電量販店,id1112
見舞い,id1113
廊下,id1114
シャトルバス,id810
一般,id1119
理由,id1091
太陽,id1117
祖師谷公園,id213
日当たり,id978
看護師,id1120
フレンチ,id1039
バリエーション,id843
医療行為,id1115
急,id491
