上品,たたずまい
たたずまい,エントランス
エントランス,他
チャペル,存在
存在,ヨーロピアン
全館,バリアフリー
バリアフリー,自由
自由,居室
日当たり,良好
テラス,いす
談笑,楽しい
楽しい,人
裕福,人数
方々,品
アクティビティ,年間
年間,行事
行事,他
方途,一緒
お話,楽しい
楽しい,趣味
趣味,腕
生活,目的
目的,方途
方途,知人
知人,低価格
管理費,食費
食費,1日
口座,引き落とし
引き落とし,複数
手厚い,場所
充実,高い
十分,グループ
グループ,会社
四季,料理
料理,提供
提供,雰囲気
雰囲気,レストラン
レストラン,味
相談,個々
個々,知人
知人,歯
歯,定期的
定期的,相談
相談,やすい
やすい,味
相談,満足
お話,知人
質,説明
説明,細か
細か,お願い
嫌,顔
雰囲気,上品
余裕,印象
印象,住宅街
住宅街,場所
暮らし,祖師谷公園
祖師谷公園,自然
自然,場所
環境,申し分
小田急線,成城学園前
成城学園前,駅
徒歩,アクセス
アクセス,悪い
悪い,室
室,個室
個室,プライバシー
プライバシー,玄関
玄関,廊下
手すり,自分
自分,歩行
催し物,計画
交流,楽しみ
支払,家賃
家賃,管理費
管理費,生活
生活,サービス
サービス,食費
自分,他
見学,想定内
想定内,納得
中心,祭り
祭り,寿司
寿司,流動食
可能,受付
受付,担当
担当,案内
見学,皆さん
皆さん,優しい
会話,建物
建物,一緒
一緒,明るい
明るい,雰囲気
雰囲気,印象
印象,夜間
夜間,勤務
勤務,体制
体制,緊急
緊急,連絡
連絡,体制
体制,提携
提携,病院
病院,説明
サービス,担当
静か,環境
環境,住宅街
住宅街,電車
電車,駅
駅,近い
近い,自宅
自宅,車
車,電話
電話,見学
見学,お願い
お願い,スムーズ
段差,無い
無い,手すり
手すり,やすい
作り,優雅
人,参加
楽しい,生活
生活,飽き
飽き,工夫
工夫,知人
妥当,金額
金額,金額
金額,本人
本人,満足
感想,栄養士
栄養士,バランス
メニュー,皆さん
皆さん,趣味
心強い,体制
高い,病院
病院,連携
連携,スムーズ
成城,緑
緑,景色
景色,最高
高齢者,辛い
辛い,電話
問い合わせ,迅速
迅速,丁寧
丁寧,非常
非常,印象
印象,待機
待機,いい
気,祖父
祖父,利用
利用,記憶
方々,親切
外出,入浴
入浴,サービス
サービス,専用
専用,風呂
設置,トイレ
トイレ,介助
介助,親切
親切,若い
折り紙,手
活動,大きい
介護施設,利用
利用,金額
金額,必要
必要,ミキサー
ミキサー,最初
最初,祖父
支給,完璧
完璧,ミキサー
ミキサー,雰囲気
雰囲気,爽やか
おおい,地域
地域,利用者
挨拶,祖父
祖父,利用
利用,なかった
なかった,医療
医療,体制
体制,詳しい
送迎,気軽
気軽,利用
いす,車
駐車場,広い
期間,訪問
改善,トイレ
丁寧,印象
印象,年間
年間,季節
季節,行事
行事,それなり
それなり,チャペル
チャペル,雰囲気
雰囲気,行事
行事,場所
それなり,値段
栄養,健康
健康,管理
管理,プロ
プロ,大丈夫
大丈夫,見学
見学,皆さん
皆さん,自分
自分,好き
好き,自分
自分,好き
素敵,緊急時
緊急時,体制
体制,職員
職員,研修
静か,住宅街
最寄り,バス停
バス停,バス
バス,苦手
苦手,人
清潔,日当たり
窓,綺麗
綺麗,公園
公園,玄関
玄関,廊下
廊下,手すり
手すり,設置
設置,リハビリ
リハビリ,歩行
歩行,訓練
訓練,玄関
共有,スケジュール
スケジュール,退屈
退屈,程度
程度,催し
催し,地域
地域,ボランティア
ボランティア,グループ
グループ,皆さん
楽しみ,お金
お金,発生
見学,チェック
チェック,高い
母親,銀行口座
銀行口座,引き落とし
要望,母親
状況,好き嫌い
連絡,メニュー
メニュー,母親
心配,案内
案内,担当
勤務,心強い
言葉,母親
母親,持病
持病,気
気,横浜
横浜,総合病院
総合病院,隣接
緊急,連絡
連絡,体制
体制,自分
自分,確認
確認,横浜市
横浜市,郊外
郊外,公園
公園,最高
最高,場所
場所,自分
自分,マンション
マンション,車
可能,状況
状況,日常生活
日常生活,自由度
自由度,十分
残念,居室
天井,高い
高い,開放
開放,プロ
コンサート,レ
レ,Creation
Creation,幅
幅,広い
広い,月
都内,高い
活き活き,雰囲気
雰囲気,最高
最高,趣味
趣味,元気
元気,医療
定期的,研修
都内,住宅地
住宅地,静か
静か,最寄り
最寄り,バス停
バス停,徒歩圏内
徒歩圏内,アクセス
アクセス,やすい
やすい,高級住宅街
高級住宅街,成城
成城,オシャレ
オシャレ,空間
空間,建物
建物,外観
外観,おしゃれ
ヨーロッパ,建物
建物,造り
造り,外観
外観,建物
建物,インテリア
インテリア,素敵
素敵,清掃
清掃,一年
一年,季節
開催,チャペル
チャペル,日本
日本,体験
体験,催し
参加,体制
体制,看護
看護,医療
成城,緑
緑,静か
静か,環境
環境,駅
駅,遠い
遠い,高齢者
高齢者,辛い
辛い,有料老人ホーム
有料老人ホーム,珍しい
珍しい,建物
建物,チャペル
要素,チャペル
建物,自体
自体,建物
建物,無い
目,規模
大きい,程度
程度,広い
広い,一般
広い,日本
日本,ロング
ロング,ライフ
サービス,重視
方々,旅行
旅行,高級
高級,レストラン
他,老人ホーム
成城,場所
場所,ロング
ロング,ライフ
低価格,値段
値段,それなり
それなり,値段
値段,成城学園前
成城学園前,最寄駅
最寄駅,祖師谷公園
祖師谷公園,閑静
閑静,住宅街
住宅街,老人ホーム
老人ホーム,イメージ
イメージ,静か
静か,場所
場所,老人ホーム
ヨーロピアン,建物
建物,ロビー
生活,設備
設備,トイレ
トイレ,バス
雰囲気,要介護
豪華,設備
設備,調度
調度,ゴージャス
ゴージャス,雰囲気
雰囲気,洗練
洗練,サービス
家庭,雰囲気
雰囲気,季節
コンサート,地域
地域,子供
必要,あと
あと,月額
家賃,管理費
管理費,食費
食費,必要
提供,専門
専門,会社
会社,人
健康,状態
状態,提供
非常,楽しみ
楽しみ,満足
心,最高
最高,クオリティ
クオリティ,サービス
サポート,快適
快適,満足度
満足度,高い
高い,生活
看護,医療
医療,体制
バス,バス停
バス停,徒歩
徒歩,閑静
閑静,住宅街
住宅街,祖師谷公園
お話,機会
機会,毎日
毎日,趣味
囲碁,短歌
充実,毎日
毎日,毎日
毎日,生活
心,体
サポート,生活
生活,自立
豪華,一言
一言,外観
外観,高級
優雅,気分
気分,内装
テーブル,テーブル
テーブル,距離
距離,会話
一言,美味しい
料理,期待
期待,レストラン
専門,グループ
グループ,会社
美味しい,料理
料理,提供
提供,知人
知人,話
会話,人
人,苦手
苦手,職員
職員,間
間,他
方途,交流
知人,持病
持病,看護
看護,体制
有難い,体調
体調,変化
変化,気軽
気軽,相談
相談,定期的
定期的,医師
医師,往診
往診,健康
健康,不安
場所,成城
成城,ホーム
ホーム,周り
周り,静か
静か,環境
環境,ホーム
ホーム,周り
周り,自然
ヨーロッパ,外観
外観,インテリア
インテリア,女性
女性,好き
好き,上品
上品,建物
建物,ロビー
ロビー,ソファ
ソファ,友達
友達,談笑
談笑,場所
場所,ホーム
ホーム,駅
駅,距離
距離,バス
バス,タクシー
タクシー,やすい
やすい,場所
場所,閑静
閑静,住宅
家具,設置
店,魅力
魅力,窓
窓,日
日,光
光,日
日,中
中,気持ち
やすい,皆さん
皆さん,レストラン
演奏会,お話
お話,皆さん
年齢,若い
若い,趣味
毎日,成城
成城,高級住宅街
高級住宅街,おしゃれ
中,ヨーロッパ
ヨーロッパ,家具
ヨーロッパ,照明
照明,家具
家具,インテリア
インテリア,造り
造り,掃除
掃除,隅々
ロング,ライフ
ライフ,成城
成城,季節
サークル,活動
活動,盛ん
盛ん,おいしい
おいしい,おいしい
旅行,ツアー
コンサート,サークル
サークル,皆さん
皆さん,元気
元気,印象
印象,機会
土地,空間
空間,ロビー
ロビー,綺麗
綺麗,窓
窓,景色
景色,綺麗
綺麗,木々
室内,綺麗
綺麗,清潔
清潔,明るい
明るい,空間
空間,周り
周り,静か
外,音
音,気
気,通常
旅行,サークル
サークル,美味しい
美味しい,サークル
サークル,皆さん
様子,定期的
定期的,コンサート
祖母,成城学園前
成城学園前,バス
バス,徒歩
徒歩,距離
距離,不便
不便,場所
商店街,公園
公園,散歩
外観,こだわり
こだわり,造り
造り,インテリア
インテリア,好み
好み,ヨーロピアン
家具,好き
好き,祖母
祖母,居心地
空間,空間
空間,自宅
刺激,毎日
毎日,居室
アクティビティ,活動
活動,自由
自由,気持ち
気持ち,参加
参加,楽しい
楽しい,意味
意味,生活
料金,支払い
プラン,月額
こだわり,栄養士
栄養士,料理長
料理長,体制
環境,近所
近所,保育園
保育園,子供
子供,交流
交流,保育園
保育園,運動会
クリスマス,保育園
保育園,子供
子供,ダンス
ダンス,歌
歌,音楽
音楽,演奏
好感,きれいな
きれいな,住宅地
住宅地,駅
駅,遠い
遠い,最寄り
最寄り,バス停
バス停,近い
近い,高齢者
高齢者,駅
駅,移動
移動,大変
大変,近隣
近隣,道路
道路,交通量
道,広い
全館,バリアフリー
バリアフリー,気
気,部分
部分,手すり
手すり,設置
設置,エントランス
エントランス,リビング
リビング,ダイニング
ダイニング,スペース
スペース,ゆとり
ゆとり,窓
窓,大きい
大きい,光
雰囲気,明るい
明るい,居室
ルーム,同様
暗い,雰囲気
レクリエーション,月
月,行事
行事,月
月,メイン
ひな祭り,日本
パフォーマンス,積極的
一緒に,パフォーマンス
パフォーマンス,笑顔
笑顔,レクリエーション
レクリエーション,体験
体験,なかった
なかった,書道
書道,新しい
新しい,趣味
趣味,手
手,機能
機能,維持
維持,年齢
年齢,細かい
細かい,相場
相場,割高
充実,多彩
妥当,金額
金額,知人
満足,程度
程度,仕方がない
状態,大きい
可能,知人
生活,不安
不安,相談
うれしい,嫌
嫌,顔
顔,一つ
一つ,相談
相談,満足
朝食,洋食
洋食,和食
和食,選択
選択,可能
可能,季節
季節,メニュー
メニュー,満足度
満足度,高い
明るい,仕事
仕事,親族
お話,情報
情報,把握
把握,暮らし
暮らし,体調
気,話
話,丁寧
丁寧,くだ
くだ,親族
コミュニケーション,大切
大切,親身
周り,緑
プライバシー,管理
道路,綺麗
緑,音
音,大きい
大きい,気
気,チェック
用賀駅,徒歩
自然環境,充実
充実,緑
散歩,距離
新しい,清潔
清潔,きれい
きれい,明るい
明るい,すごい
すごい,環境
段差,無い
カラオケ,卓球
卓球,ビリヤード
ビリヤード,設備
明るい,元気
それなり,額
額,額
額,無理
料理,おいしい
おいしい,メニュー
メニュー,バリエーション
バリエーション,毎日
毎日,楽しい
動き,皆さん
皆さん,明るい
職員,人数
人数,確保
確保,夜間
夜間,常駐
アクセス,都会
都会,電車
電車,車
車,便
気軽,コンビニ
日常生活,自由度
外出,お酒
自由,基本
基本,きれいな
きれいな,掃除
気,職員
職員,方々
方々,非常
風呂,完全
完全,不満
健康,人
話し相手,残念
参加,季節
季節,行事
行事,嬉しい
嬉しい,花見
花見,車
車,非常
非常,本人
比較,高額
身の回り,お世話
職員,方々
方々,相応
毎日,和食
和食,洋食
高齢者,量
たま,一緒に
気,量
訪問,職員
職員,方々
方々,笑顔
笑顔,要介護
静か,食堂
食堂,レクリエーション
レクリエーション,場所
場所,空間
空間,気分転換
少ない,健康
健康,状態
方々,身内
車,非常
非常,便利
便利,公園
公園,無い
無い,残念
場所,散歩
信頼,看護師
職員,方々
方々,お話し
お話し,楽しい
楽しい,要介護
職員,忙しい
室内,家具
家具,悪い
室内,清掃
清掃,充実
充実,ほしい
ほしい,毎日
体,外出
外出,REC
REC,冬
月額,普通
普通,入所
入所,高い
広い,訪問
全員,あいさつ
あいさつ,非常
非常,礼儀
礼儀,正しい
正しい,月
月,医師
毎日,看護師
看護師,巡回
巡回,医療
充実,環境
自宅,便利
介護施設,設備
高い,見た目
見た目,介護施設
介護施設,家賃
退屈,行事
行事,数多い
数多い,用意
用意,近所
連携,子供
子供,催し
利用者,好評
好評,平均
平均,レベル
レベル,価格
価格,高級
自体,キレイ
キレイ,値段
値段,安心感
安心感,妥当
妥当,コスト
様子,美味しい
美味しい,一見
一見,介護施設
レストラン,メニュー
メニュー,見た目
見た目,非常
非常,演出
専属,料理人
人,穏やか
穏やか,やすい
やすい,雰囲気
雰囲気,大勢
大勢,歓談
歓談,共有
共有,スペース
スペース,広い
広い,多め
印象,日当たり
日当たり,良好
良好,訪問者
訪問者,歓談
歓談,最適
最適,場所
場所,水準
水準,24時間
24時間,看護
看護,夜間
少ない,無い
無い,リハビリ
リハビリ,充実
充実,認知症
認知症,人
距離,バス
バス,一般的
一般的,バス停
バス停,不便
不便,無い
子供,元気
元気,姿
ホーム,閑静
閑静,住宅街
住宅街,静か
静か,緑
緑,豊か
豊か,外観
外観,優しい
高級,マンション
清潔感,建物
建物,新しい
新しい,建物
建物,定期的
定期的,掃除
掃除,お世話
お世話,隅々
隅々,手入れ
手入れ,ロビー
ロビー,廊下
廊下,窓
窓,大きい
少ない,明るい
明るい,気持ち
場所,車椅子
車椅子,やすい
やすい,生活
生活,便利
不自由,簡単
簡単,手すり
手すり,嬉しい
嬉しい,毎日
毎日,バリエーション
バリエーション,豊か
豊か,メニュー
メニュー,豪華
豪華,栄養
栄養,バランス
バランス,健康的
健康的,美味しい
美味しい,季節
季節,メニュー
メニュー,楽しみ
楽しみ,一つ
バルコニー,一般的
比較,珍しい
珍しい,玄関
高級,マンション
マンション,印象
親族,夫婦
夫婦,間取り
間取り,非常
非常,広い
ルーム,魅力的
魅力的,設備
窓,大きい
大きい,室内
室内,暗い
暗い,気持ち
環境,気配り
気配り,印象
入所,同士
同士,交流
友達,各種
各種,行事
生活,お話
お話,設備
設備,パフォーマンス
パフォーマンス,サービス
サービス,内容
高い,印象
印象,他
夫婦,一緒に
金額,安い
安い,価格
価格,設定
設定,人
価格,サービス
非常,オススメ
オススメ,一流
一流,調理
提供,見学
見学,レストラン
レストラン,料理
料理,勘違い
勘違い,豪華
非常,美味しい
親族,普通
普通,レストラン
レストラン,美味しい
美味しい,料理
料理,楽しみ
楽しみ,サービス
サービス,内容
内容,自然
内部,非常
非常,明るい
明るい,開放
不満,満足
満足,雰囲気
丁寧,好感
好感,24時間
24時間,体制
看護,24時間
24時間,常駐
常駐,非常
非常,安心感
安心感,そば
そば,提携
提携,医療機関
医療機関,定期的
医療,体制
体制,抜群
抜群,嬉しい
嬉しい,一つ
一つ,認知症
認知症,普通
徒歩,距離
距離,マイカー
マイカー,面会
面会,駐車
駐車,スペース
スペース,確保
遠方,やすい
やすい,公園
公園,設備
設備,住環境
住環境,住宅地
商業施設,満足
満足,確保
サービス,マンション
マンション,印象
印象,強い
生活,自由度
自由度,高い
広い,清潔感
清潔感,ロビー
ロビー,建物
建物,自体
窓,大きい
大きい,気持ち
かなり,楽しみ
楽しみ,具体的
具体的,価格
平均,高い
高い,納得
納得,和食
和食,洋食
洋食,自分
自分,好み
栄養,管理
管理,訪問者
訪問者,応対
すごい,優しい
優しい,笑顔
笑顔,好感
好感,看護師
看護師,在中
目,やすい
やすい,世田谷
世田谷,環境
共有,スペース
スペース,広い
広い,自然
自然,開放
開放,価格
価格,高め
充実,印象
印象,自分
場所,見学
見学,複数
複数,グループ
グループ,楽しい
楽しい,お話
お話,同士
同士,会話
会話,やすい
やすい,環境
環境,椅子
椅子,気軽
感心,浴室
浴室,天然
余裕,価格
価格,高い
環境,祖母
祖母,見学
見学,世田谷
世田谷,閑静
閑静,住宅街
住宅街,おしゃれ
おしゃれ,建物
建物,中
ロビー,受付
受付,スペース
スペース,高級
高級,雰囲気
雰囲気,窓
窓,外
外,景色
景色,庭
庭,緑
緑,空間
見学,きれい
きれい,フローリング
フローリング,上品
上品,家具
家具,場所
場所,窓
窓,大きい
大きい,明るい
明るい,印象
嬉しい,毎日
毎日,充実
レ,Creation
Creation,手芸
手芸,ダンス
ダンス,ヨガ
ヨガ,興味
開放,高級
高級,有料老人ホーム
有料老人ホーム,クオリティ
クオリティ,団らん
団らん,やすい
やすい,環境
環境,気軽
気軽,椅子
椅子,多め
多め,設置
設置,気配り
気配り,浴室
浴室,安全
安全,天然
天然,高級
レ,Creation
スケジュール,無理
タイプ,高め
豪華,納得
納得,範囲
部分,不自由
一つ,和食
和食,洋食
洋食,選択
選択,朝食
朝食,メニュー
メニュー,気
やすい,用意
用意,旬の食材
旬の食材,季節感
季節感,配慮
配慮,部分
部分,印象
豊か,充実
充実,満足
満足,24時間
24時間,体制
体制,勤務
勤務,看護
場所,アクセス
アクセス,周辺
エントランス,ホール
ホール,日当たり
日当たり,明るい
明るい,綺麗
綺麗,中庭
中庭,つくり
つくり,窓
窓,緑
緑,気持ち
気持ち,季節
季節,花
花,好感
好感,エントランス
エントランス,ホール
ホール,ライブラリー
様々,本
年間,様々
様々,行事
友達,雰囲気
企画,様子
様子,他
高い,質
質,高い
高い,不満
不満,和食
和食,洋食
洋食,四季
四季,減塩
減塩,気
ホール,綺麗
綺麗,眺め
高級,レストラン
レストラン,用賀駅
用賀駅,徒歩
徒歩,場所
場所,バス停
バス停,徒歩
徒歩,バス
バス,アクセス
アクセス,祖母
綺麗,場所
場所,建物
建物,室内
室内,綺麗
綺麗,気持ちよい
気持ちよい,すごい
すごい,祖母
場所,居心地
快適,レ
レ,Creation
Creation,麻雀
麻雀,教室
楽しみ,一つ
月々,家賃
食費,楽しみ
メニュー,大変
大変,美味しい
美味しい,味
味,最初
最初,薄味
薄味,気
気,健康的
健康的,味付け
味付け,満足
満足,高齢
高齢,一人暮らし
心配,入所
笑顔,挨拶
挨拶,話し相手
話し相手,なかった
なかった,祖母
祖母,毎日
毎日,声
声,元気
元気,価格
価格,安い
安い,親族
親族,負担
負担,少ない
少ない,世田谷
世田谷,立地
親戚,やすい
やすい,場所
場所,電話
質問,丁寧
広い,共有
共有,スペース
スペース,ホーム
世田谷,用賀
用賀,場所
場所,それなり
それなり,値段
値段,設備
設備,敷地
広い,用賀
用賀,住宅街
住宅街,敷地
敷地,設備
設備,豪華
豪華,建物
建物,中庭
中庭,ホーム
ホーム,個人的
個人的,雰囲気
雰囲気,明るい
いい,100人
100人,定員
看護師,常駐
常駐,安心感
安心感,病気
電車,用賀駅
車,用賀
用賀,インター
インター,近い
近い,便利
便利,明るい
明るい,太陽
太陽,室
室,つくり
つくり,穏やか
照明,白
白,茶色
茶色,シンプル
シンプル,空間
空間,夫婦
キッチン,完備
完備,自宅
自宅,別荘
別荘,気分
ルーム,定期的
定期的,利用
利用,様々
様々,レ
レ,Creation
Creation,予定
外出,買い物
買い物,REC
気分,値段
値段,他
他,高額
高額,ホーム
ホーム,リゾートホテル
リゾートホテル,たたずまい
たたずまい,清潔感
清潔感,サービス
サービス,充実
充実,値段
値段,栄養
栄養,管理
管理,朝食
朝食,事前
献立,洋食
洋食,和食
和食,フレンチ
個人,好き嫌い
好き嫌い,希望
希望,毎日
毎日,栄養
栄養,管理
管理,好み
仕事,楽しい
楽しい,仕事
仕事,雰囲気
ホーム,24時間
24時間,看護師
看護師,在中
看護師,在中
在中,医療
医療,処置
処置,気兼ね
入所,大きい
徒歩,アクセス
アクセス,面会
面会,やすい
やすい,大通り
大通り,静か
静か,場所
普通,マンション
マンション,間取り
間取り,玄関
玄関,広い
広い,バリアフリー
バリアフリー,キッチン
来客,お茶
お茶,程度
程度,上
上,階
階,眺望
眺望,隣接
隣接,マンション
窓,大きい
大きい,明るい
明るい,広い
広い,設備
設備,住環境
住環境,フロント
敷地,ゆとり
ゆとり,設計
設計,館内
印象,駅
駅,バス
バス,不満
不満,不満
回数,目
目,バス停
バス停,バス
バス,利用
利用,最寄り駅
周辺,環境
環境,都内
都内,ゆとり
ゆとり,成城
成城,立派
訪問,様々
設備,有料老人ホーム
有料老人ホーム,エントランス
エントランス,一流
佇まい,コンシェルジュ
コンシェルジュ,常駐
状態,維持
清潔,共用
共用,スペース
窓,大きい
大きい,十分
十分,光
光,段差
段差,バリアフリー
バリアフリー,車椅子
手すり,必用
必用,高い
高い,レベル
レベル,設備
設備,心配
心配,必要
コンサート,庭園
桜,鑑賞
鑑賞,バスツアー
バスツアー,充実
充実,暮らし
暮らし,様々
様々,教室
教室,積極的
積極的,参加
参加,友人
友人,充実
充実,住環境
プライベート,空間
空間,自分
参加,回り
回り,方途
方途,コミュニケーション
参加,高い
単位,お金
お金,負担
負担,軽い
軽い,知人
知人,満足
満足,レベル
ナイト,品
食堂,レストラン
窓,美しい
美しい,庭園
メニュー,種類
種類,好き
好き,ランチ
ランチ,和食
サービス,本格的
本格的,寿司
レストラン,メニュー
可能,せり
方々,自分
自分,仕事
笑顔,お仕事
難しい,プロ
プロ,距離
距離感,大切
併設,病院
病院,24時間
24時間,体制
体制,日常
日常,診療
年,定期的
緊急時,コール
コール,部分
見学,他
行事,特別
コンサート,ルーム
ルーム,自分
十分,設備
設備,高級
高級,老人ホーム
老人ホーム,最低
美容院,病院
高級,マンション
マンション,立地
立地,便利
便利,普通
普通,人
週,有名
レストラン,ランチ
高級,マンション
職員,職員
職員,ホテルマン
普通,老人
医者,特別
特別,高級
高級,住宅地
住宅地,成城学園
便利,駅
駅,シャトルバス
シャトルバス,閑静
閑静,住宅地
住宅地,感
感,必要
別荘,感覚
感覚,普通
郊外,感
感,強い
強い,知り合い
知り合い,遊び
遊び,難しい
難しい,健康
健康,外
専門,先生
先生,簡単
簡単,ストレッチ
利用者,和やか
和やか,歌
歌,楽しい
楽しい,歌
刺激,高齢者
表情,仲間
仲間,職員
職員,優しい
立地,条件
条件,いい
いい,場所
場所,回り
回り,高級住宅街
建物,自体
自体,ゴージャス
職員,忙しい
成城学園,バス
バス,バス停
バス停,近い
近い,桜
桜,並木
並木,美しい
高級住宅街,いい
いい,雰囲気
雰囲気,建物
コンビニ,レストラン
レストラン,食品
食品,銀行
ショップ,大通り
大通り,利用者
利用者,外出
叔母,夫婦
夫婦,見た目
見た目,老人ホーム
老人ホーム,高級
高級,マンション
マンション,間取り
間取り,家
家,小さい
リビング,快適
診療所,設備
設備,設置
設置,ナースコール
穏やか,弁当
弁当,春
鑑賞,参加
参加,楽しい
トレーニング,ルーム
ルーム,音楽
音楽,ルーム
ルーム,カラオケ
カラオケ,ルーム
ホーム,外
金額,月々
同士,トラブル
スムーズ,生活
生活,様子
様子,中
中,優雅
優雅,安心感
サービス,カロリー
カロリー,栄養
栄養,バランス
バランス,配慮
配慮,味付け
味付け,美味しい
美味しい,味
味,薄味
薄味,物足りない
自分,好き
好き,レストラン
注文,寂しい
楽しみ,老人ホーム
老人ホーム,叔母
叔母,きれいな
きれいな,マンション
マンション,サロン
庭,手入れ
お話,心配り
薬,車
車,不便
不便,成城学園前
成城学園前,最寄り駅
最寄り駅,リビング
リビング,寝室
寝室,キッチン
機能,リビング
リビング,寝室
寝室,窓
窓,大きい
大きい,明るい
明るい,小さい
庭,春
春,庭
庭,きれいな
祖父母,季節
窓,バス
バス,ルーム
ルーム,洗面
洗面,広め
広め,祖父母
便利,キッチン
キッチン,料理
料理,冷蔵庫
冷蔵庫,おやつ
おやつ,電子レンジ
栄養,考慮
考慮,美味しい
祖母,料理
料理,掃除
掃除,居室
居室,清潔
清潔,共用
共用,スペース
スペース,綺麗
居住者,マナー
共有,ラウンジ
ラウンジ,スペース
スペース,の・ようなもの
の・ようなもの,優雅
優雅,見た目
見た目,広い
広い,訪問
歓談,居住者
介護施設,言葉
言葉,贅沢
暮らし,雰囲気
雰囲気,設備
設備,バス
お出かけ,ツアー
ツアー,楽しい
楽しい,祖父母
祖父母,参加
演奏家,コンサート
コンサート,幅広い
幅広い,質
カラオケ,人気
人気,祖母
友達,方途
方途,カラオケ
カラオケ,嬉しい
活用,印象
印象,居住者
医者,お金
お金,不自由
不自由,裕福
祖父,医者
医者,生活
生活,自分
クオリティ,維持
医者,看護師
看護師,常駐
常駐,安心感
説明,祖父母
祖父母,納得
納得,楽しい
楽しい,美味しい
美味しい,質
サイズ,カロリー
味,薄い
薄い,居住者
居住者,苦手
苦手,特別
メニュー,幅
和食,定食
豊富,駅前
駅前,送迎
送迎,バス
綺麗,池
楽しみ,受付
皆さん,丁寧
安心感,あいさつ
あいさつ,和やか
間,電話
感謝,たま
たま,祖母
悪い,お世話
成城,駅
駅,シャトルバス
シャトルバス,便利
便利,バス
バス,快適
風景,祖母
祖母,嬉しい
気配り,温かい
温かい,職員
職員,方々
方々,配慮
配慮,隅々
隅々,ケア
ケア,清掃
清掃,感心
感心,清潔
清潔,気
気,なかった
楽しみ,弁当
弁当,散歩
散歩,川
ホーム,覚悟
覚悟,月々
月々,経費
経費,具合
具合,気
気,相応
相応,サービス
少ない,味付け
味付け,材料
おいしい,歯
歯,自分
自分,歯
おいしい,明るい
明るい,室内
明るい,感心
様々,当たり前
当たり前,生活
適切,感謝
感謝,最寄り
最寄り,駅
駅,近い
近い,面会
面会,友人
負担,少ない
充分,満足
満足,一見
一見,高級
勘違い,豪華
豪華,外観
外観,老人ホーム
豪華,作り
作り,廊下
廊下,トイレ
トイレ,綺麗
綺麗,手入れ
手入れ,他
他,トレーニング
トレーニング,ルーム
ビリヤード,専用
充実,敷地
敷地,病院
お花見,花火
花火,鑑賞
鑑賞,コンサート
コンサート,様々
ダンス,教室
教室,一年
一年,退屈
価値,十分
十分,レストラン
レストラン,豊富
豊富,メニュー
メニュー,用意
用意,メニュー
メニュー,細やか
細やか,配慮
配慮,楽しい
皆さん,笑顔
笑顔,明るい
明るい,質問
フロント,一流
一流,ホテルマン
ホテルマン,遜色
病院,併設
併設,24時間
24時間,体制
体制,医療
健康,相談
相談,医療
医療,サービス
目,外
外,豪華
豪華,外観
佇まい,庭
広い,敷地
敷地,散歩
散歩,清々しい
清々しい,気分
気分,春
春,敷地
敷地,桜
友人,予約
予約,利用
利用,スカイラウンジ
スカイラウンジ,建物
個室,プライベート
プライベート,優雅
種類,メニュー
メニュー,自分
自分,好き
好き,メニュー
メニュー,注文
注文,システム
システム,レストラン
自体,一流
一流,シェフ
幸せ,料理
教育,細かい
細かい,要望
要望,知人
知人,信頼
信頼,知人
知人,訪問
電話,丁寧
丁寧,詳しい
洗練,外観
外観,他
雰囲気,老人ホーム
老人ホーム,様子
設備,非常
非常,素晴らしい
素晴らしい,掃除
掃除,匂い
匂い,共用
共用,スペース
スペース,サービス
サービス,多彩
多彩,銀行
銀行,常駐
レストラン,陶芸
陶芸,専用
専用,スペース
スペース,来客
サロン,個室
常駐,ジム
ジム,和室
和室,一般
クリニック,富士山
居室,広い
広い,狭い
狭い,タイプ
タイプ,広い
広い,冷蔵庫
冷蔵庫,電子レンジ
電子レンジ,洗濯機
洗濯機,設置
様々,スペース
自由,陶芸
価格,設定
設定,安い
お金,必要
必要,金額
金額,準備
設備,サービス
サービス,数
値段,立地
