上品,たたずまい
心配,アクセス
アクセス,いい
いい,電車
夏,大変
大変,スーパー
スーパー,病院
元気,一般
一般,居室
キッチン,居室
居室,雰囲気
雰囲気,普通
普通,マンション
マンション,素晴らしい
素晴らしい,中庭
ラウンジ,ラウンジ
ラウンジ,天井
天井,高い
窓,開放的
開放的,空間
空間,中庭
高級,リゾートホテル
リゾートホテル,ロビー
プロ,演奏家
演奏家,コンサート
コンサート,開催
春,秋
秋,バスツアー
バスツアー,外出
祭り,雰囲気
雰囲気,皆さん
皆さん,友人
金額,計算
納得,メイン
メイン,ダイニング
個室,プライベート
プライベート,ダイニング
ダイニング,友人
友人,私たち
私たち,一緒に
ダイニング,ルーム
ルーム,高級
個室,雰囲気
雰囲気,メイン
メイン,ダイニング
ダイニング,空間
レストラン,印象
印象,通常
通常,メニュー
メニュー,和食
定食,洋食
定食,昼食
昼食,夕食
定食,メニュー
必要,いろいろ
いろいろ,皆さん
皆さん,自立
自立,生活
必要,サービス
サービス,心配り
皆さん,明るい
クリニック,テナント
室内,緊急
緊急,コール
コール,室内
感知,看護師
センサー,大変
大変,充実
充実,協力
協力,病院
病院,総合病院
総合病院,神鋼
神鋼,病院
病院,バス
バス,阪神
阪神,阪急
阪急,JR
JR,最寄駅
最寄駅,元気
元気,距離
距離,そば
コンビニ,便利
便利,外観
外観,内装
内装,サービス
サービス,内容
印象,元気
元気,素晴らしい
病院,安心感
皆さん,生活
生活,満足
満足,姿
姿,印象
印象,エントランス
エントランス,豪華
豪華,ラウンジ
雰囲気,趣味
月,催し物
催し物,四季
一般的,価格
内容,妥当
妥当,金額
金額,栄養士
栄養士,メニュー
メニュー,提供
プライベート,ダイニング
ダイニング,希望
細かい,専門
充実,神鋼
神鋼,ケア
ケア,ライフ
ライフ,有料老人ホーム
有料老人ホーム,心配
理学療法士,訓練
訓練,JR
中間,周辺
周辺,店
店,充実
充実,病院
付き添い,生活
生活,丁寧
豪華,やすい
やすい,洗練
中心,歩行
プログラム,サークル
サークル,活動
活動,季節
季節,お出かけ
お出かけ,多彩
企画,楽しい
楽しい,地域
たたずまい,価格
価格,高い
栄養,管理
管理,見た目
見た目,美しい
美しい,料理
料理,来客
料理,用意
用意,満足
優しい,一緒に
一緒に,お見舞い
お見舞い,祖母
祖母,車椅子
車椅子,ほしい
残念,神鋼
神鋼,病院
病院,連携
連携,看護師
看護師,体制
体制,駅
駅,便利
建物,自体
きれい,外観
外観,高級
高級,マンション
内装,共有
共有,スペース
スペース,中心
中心,優雅
優雅,デザイン
デザイン,清掃
清掃,年配
年配,快適
快適,配慮
配慮,老人
老人,ケア
ケア,ホーム
主,皆さん
皆さん,一緒に
全員,歌
歌,元気
価格,印象
比較,エリア
エリア,マンション
マンション,値段
値段,普通
普通,評価
評価,本人
本人,話
味付け,料理
レベル,高い
高い,細かい
細かい,特定
特定,料理
皆さん,非常
礼儀,正しい
正しい,雰囲気
静か,高齢者
夜勤,人数
定期的,先生
先生,周り
周り,最寄り
最寄り,駅
駅,アクセス
アクセス,当方
非常,近い
近い,アクセス
前面,道路
道路,交通量
夜間,騒音
静か,豪華
豪華,綺麗
高額,安心感
安心感,すごい
必要,となり
となり,ケア
早い,サークル
苦手,人
人,関係
いい,雰囲気
雰囲気,大学
開催,事前
事前,説明
説明,納得
金額,高額
高額,月々
自分,人
明るい,きれいな
人,薄味
薄味,バランス
用意,静か
静か,豪華
豪華,子供
となり,ケア
面倒,話
話,駅
駅,徒歩圏内
徒歩圏内,魅力的
魅力的,横浜
便利,個室
個室,広い
広い,快適
快適,日当たり
共用,スペース
スペース,掃除
臭い,の・ようなもの
の・ようなもの,気
職員,温かい
スペース,広い
広い,専門
専門,看護師
看護師,安心感
安心感,バス
バス,外出
外出,機会
機会,嬉しい
嬉しい,様々
様々,サークル
サークル,活動
高い,自宅
年金,本人
本人,満足
満足,穏やか
穏やか,やさしい
やさしい,職員
挨拶,明るい
専用,ケア
ケア,センター
センター,スペース
専門,看護師
看護師,ケア
スーパー,近い
専用,バス
バス,自由
待機,なかった
なかった,広い
広い,きれい
きれい,高級
玄関,フロント
基本的,夫婦
夫婦,独立
独立,生活
生活,マンション
広い,フロント
フロント,かなり
かなり,距離
距離,いい
いい,運動
運動,名前
演奏会,祭り
カラオケ,大会
開催,気軽
気軽,参加
参加,日帰り
日帰り,バス
バス,旅行
好き,いい
いい,値段
自分,準備
準備,年金
広い,食堂
食堂,事前
事前,メニュー
自分,好み
好み,予定
予定,急
急,来客
来客,メニュー
栄養,管理
朝食,フロント
フロント,清掃
気持ちよい,挨拶
挨拶,教育
教育,親族
いい,トラブル
要介護,状態
となり,ケア
フロント,ボタン
ボタン,連絡
連絡,万が一
最寄駅,徒歩
徒歩,立地
立地,車
道路,道路
辛い,近所
近所,スーパー
スーパー,生活
生活,やすい
やすい,場所
場所,個人的
きれい,高級
高級,マンション
サークル,趣味
趣味,グループ
グループ,体操
開催,充実
具体的,管理栄養士
管理栄養士,メニュー
高い,聖
聖,マリアンナ
マリアンナ,病院
病院,連携
駅,いい
いい,近い
近い,駅前
非常,高級
大変,高い
高い,評価
方々,大変
大変,うれしい
居室,希望
居室,狭い
狭い,物件
写真,感想
参加,様子
様子,好感
好感,契約
契約,概算
充実,高級
高級,妥当
妥当,経費
経費,利用
額,気
方々,大変
積極的,笑顔
笑顔,挨拶
挨拶,大変
大変,好感
好感,価格
価格,割高
割高,綺麗
綺麗,高級
見学,高級
室内,キッチン
ヒーター,使用
フロント,ケア
頻繁,開催
開催,楽しい
楽しい,コンサート
コンサート,好評
好評,コンサート
コンサート,祭り
時点,健康的
健康的,自分
自分,身の回り
可能,条件
必要,サポート
ライフ,ケア
両親,有料老人ホーム
有料老人ホーム,自宅
自宅,横浜
横浜,希望が丘
希望が丘,有料老人ホーム
有料老人ホーム,見学
老人ホーム,高級
高級,マンション
マンション,いい
豪華,雰囲気
雰囲気,居室
居室,希望
希望,広い
広い,私たち
私たち,見学
快適,広い
広い,普通
普通,マンション
マンション,作り
作り,中銀ライフケア
中銀ライフケア,レ
レ,Creation
種類,充実
充実,素晴らしい
素晴らしい,一言
工夫,随所
随所,忙しい
忙しい,クラブ活動
サークル,数多い
数多い,父
父,囲碁
囲碁,サークル
サークル,母
興味,中銀ライフケア
高い,印象
印象,両親
両親,ワンルーム
高額,月々
体験,普通
普通,レストラン
レストラン,雰囲気
雰囲気,美味しい
美味しい,料理
料理,専属
専属,シェフ
シェフ,丁寧
非常,好感
好感,夕食
夕食,メニュー
メニュー,種類
種類,選択
嬉しい,病気
提供,大変
フロント,感想
感想,老人ホーム
老人ホーム,一流
サービス,丁寧
手,言葉
言葉,サービス
体制,24時間
24時間,体制
体制,看護師
看護師,常駐
常駐,緊急時
万全,体調
体調,悪い
悪い,気軽
気軽,相談
相談,週
週,提携
提携,医師
医師,健康
健康,相談
相談,健康
健康,不安
システム,心強い
心強い,提携
提携,病院
病院,聖
聖,マリアンナ
病院,利用
希望が丘,駅
駅,周辺
周辺,商店街
散歩,買い物
買い物,中銀ライフケア
中銀ライフケア,有料老人ホーム
有料老人ホーム,人気
人気,高い
高い,見学
見学,理由
理由,高い
ワンルーム,L・DK
L・DK,L・DK
L・DK,選択
選択,キッチン
キッチン,トイレ
トイレ,浴室
共有,スペース
ホール,色々
他,趣味
趣味,スペース
スペース,高い
高い,年齢
年齢,値段
値段,高い
管理栄養士,栄養
栄養,バランス
提供,説明
説明,朝食
朝食,和食
和食,洋食
洋食,夕食
選択,色々
色々,サービス
すごい,提携
提携,病院
病院,送迎
運行,週
健康,人
徒歩,不便
不便,他
見学,すごい
エントランス,ラウンジ
ラウンジ,共用
共用,スペース
造り,清掃
清掃,浴室
浴室,空間
空間,他
方途,コミュニケーション
七夕,季節
サークル,活動
サービス,利用
利用,可能
可能,検討
栄養,管理
管理,献立
メニュー,少ない
体調,メニュー
生活,相談
相談,環境
環境,雰囲気
好き,環境
聖,マリアンナ
マリアンナ,大手
大手,病院
病院,協力
協力,医療機関
医療機関,持病
利用,希望が丘
希望が丘,駅
立地,便利
便利,ケア
車,にくい
にくい,場所
駅,近
明るい,雰囲気
友人,宿泊
宿泊,遠方
遠方,お見舞い
お見舞い,便利
便利,母親
一緒に,見学
見学,外観
外観,綺麗
綺麗,中
中,ゴージャス
清潔,家具
家具,調度
調度,高級
同士,サークル
サークル,趣味
趣味,グループ
グループ,大変
大変,楽しい
楽しい,体操
体操,食べ物
食べ物,関係
開催,充実
充実,毎日
高級,老人ホーム
老人ホーム,外観
外観,内装
内装,サービス
サービス,高い
高い,金額
提供,管理栄養士
管理栄養士,メニュー
メニュー,老人
老人,イメージ
大変,見た目
見た目,豪華
豪華,美味しい
皆さん,清潔感
丁寧,高級
高級,ホーム
ホーム,サービス
サービス,印象
方々,余裕
病気,万が一
万が一,近隣
近隣,病院
病院,連携
連携,年
駅,電車
電車,車
車,アクセス
外観,高級
高級,余裕
余裕,老人ホーム
プラン,緑
緑,豊か
豊か,庭
庭,共有
共有,ラウンジ
ラウンジ,中央
中央,位置
位置,吹き抜け
吹き抜け,開放
開放,上
上,眺め
居室,廊下
廊下,共用
共用,スペース
スペース,つくり
つくり,ベッド
ベッド,位置
位置,居室
居室,ドア
ドア,位置
位置,プライバシー
確保,配慮
配慮,見学
見学,時点
時点,日
行事,定期的
定期的,実施
実施,レ
レ,Creation
Creation,少ない
少ない,参加
参加,気
住まい,知人
知人,話
話,要介護
要介護,元気
元気,自立
自立,コーラス
コーラス,参加
参加,近隣
コーラス,コンサート
コンサート,開放的
印象,記憶
メニュー,豊富
豊富,糖尿病
一緒,緑
緑,豊か
豊か,食堂
シェフ,調理
調理,料理
料理,きれい
きれい,気持ちよい
気持ちよい,メニュー
メニュー,記載
記載,方法
方法,高齢者
高齢者,づらい
料理,方法
方法,理解
理解,気
方々,雰囲気
印象,送迎
送迎,バス
アットホーム,上品
様子,本人
管理,タイプ
自分,管理
管理,不安
不安,コンビニ
買い物,距離
様子,最寄り駅
最寄り駅,道
道,づらい
づらい,距離
距離,バス
バス,送迎
送迎,大変
大変,便利
便利,訪問
訪問,冬
訪問者,同様
訪問者,面倒
管理,安心感
安心感,駅
駅,近い
近い,場所
場所,緑
緑,豊か
豊か,場所
ロビー,広い
広い,空間
綺麗,清潔感
清潔感,バリアフリー
生活,ペット
開催,定期的
定期的,コンサート
コンサート,飽き
飽き,工夫
工夫,充実
高い,価値
笑顔,にこやか
にこやか,挨拶
皆さん,穏やか
穏やか,楽しい
楽しい,クリニック
クリニック,併設
高級,ロビー
ロビー,天井
天井,高い
高い,窓
窓,光
光,明るい
明るい,開放的
開放的,印象
印象,中庭
手入れ,綺麗
綺麗,都会
都会,住宅地
住宅地,窓
窓,緑
緑,嬉しい
嬉しい,風呂
風呂,サウナ
綺麗,場所
場所,卓球
卓球,ビリヤード
場所,中庭
中庭,開放的
開放的,場所
場所,料理
豊か,メニュー
ごはん,クオリティ
クオリティ,美味しい
美味しい,個人
個人,個人
個人,歯
個室,周り
周り,気
魅力,知人
ペット,専用
専用,庭
庭,住居
住居,別荘
別荘,専用
専用,庭
庭,広い
広い,ペット
ペット,最適
最適,ペット
ペット,足
充実,環境
環境,ビリヤード
ビリヤード,卓球
卓球,場所
同士,コミュニケーション
コミュニケーション,工夫
知り合い,プライベート
プライベート,ダイニング
ダイニング,一緒に
料理,美味しい
美味しい,京王
料理長,担当
料理,美味しい
イメージ,メニュー
美味しい,料理
料理,併設
併設,クリニック
クリニック,看護師
看護師,常駐
常駐,体制
体制,安心感
安心感,駅
場所,緑
緑,豊か
豊か,景色
場所,外観
きれいな,空間
空間,入り口
ロビー,ソファ
ソファ,スペース
スペース,窓
窓,大きい
大きい,外
外,景色
景色,明るい
明るい,室内
室内,外
外,庭
手入れ,天気
使用,きれい
きれい,上品
上品,内装
内装,ベッド
ベッド,ソファ
ソファ,空間
空間,バリアフリー
生活,キッチン
床暖房,便利
手すり,嬉しい
嬉しい,ペット
ペット,生活
ペット,一緒に
一緒に,生活
生活,うれしい
祖母,入り口
建物,大きい
大きい,高級
高級,建物
建物,ロビー
ロビー,ソファ
友人,話
話,ソファ
ソファ,庭
庭,空間
一人暮らし,家
楽しみ,一つ
一つ,健康
健康,バランス
バランス,管理
管理,野菜
豪華,特別
特別,メニュー
遊び,ダイニング
ダイニング,ルーム
ルーム,アットホーム
アットホーム,感覚
感覚,嬉しい
嬉しい,入り口
教育,受付
受付,笑顔
笑顔,ロビー
ロビー,中庭
中庭,素敵
素敵,南
南,居室
居室,日当たり
上,眺め
眺め,最高
最高,居室
居室,広い
有料老人ホーム,マンション
マンション,居室
居室,大浴場
充実,レストラン
レストラン,前面
前面,ガラス
ガラス,中庭
素敵,いろいろ
開催,参加
参加,麻雀
楽しい,ビリヤード
年齢,高額
価値,サービス
サービス,京王
味,盛り
盛り,満足
満足,友達
友達,個室
個室,特別
特別,お願い
気持ちよい,挨拶
お話,看護師
看護師,24時間
24時間,常駐
常駐,クリニック
クリニック,併設
周辺,閑静
閑静,住宅街
住宅街,静か
静か,環境
環境,道路
必要,便利
無料,シャトルバス
利用,居室
つくり,車椅子
車椅子,中庭
中庭,緑
気分転換,風呂
風呂,大浴場
大浴場,露天風呂
露天風呂,魅力的
サウナ,毎日
毎日,サウナ
サウナ,利用
利用,館内
定期的,コンサート
コンサート,飽き
行事,予定
予定,京王
連携,買い物
買い物,サービス
サービス,旅行
旅行,サービス
サービス,他
新しい,サービス
サービス,充実
充実,総合
総合,相応
相応,価格
栄養,管理
管理,季節
季節,食材
食材,栄養
栄養,管理
メニュー,写真
写真,利用者
形態,食欲
食欲,工夫
拝見,プライベート
プライベート,リラックス
リラックス,つくり
挨拶,気持ちよい
気持ちよい,親切
親切,丁寧
丁寧,説明
説明,利用者
利用者,方々
方々,穏やか
穏やか,表情
24時間,看護師
看護師,常駐
常駐,定期的
やすい,公園
公園,緑
非常,きれい
きれい,個室
個室,窓
窓,眺め
充分,スペース
スペース,確保
確保,清潔感
清潔感,自分
季節,行事
行事,頻繁
感,残念
残念,月々
洗濯,サービス
サービス,内容
内容,妥当
妥当,金額
口座,開設
開設,面倒
話,祖母
それなり,満足
正直,不満
仕方がない,部分
サロン,そば
そば,職員
人数,サロン
サロン,一つ
一つ,サロン
サロン,最低
最低,常駐
常駐,ほしい
ほしい,祖母
祖母,椅子
電話,連絡
内容,食堂
食堂,職員
職員,目
目,ほしい
ほしい,個室
個室,窓
仕方がない,車
車,非常
非常,にくい
にくい,バス
バス,運行
運行,大変
大変,不便
非常,びっくり
びっくり,一言
一言,説明
説明,声
設備,満足
ロビー,共有
共有,スペース
スペース,洋風
洋風,豪華
豪華,ソファ
ソファ,家具
家具,設置
明るい,雰囲気
雰囲気,エレベーター
設備,充実
充実,居室
居室,個室
個室,広い
広い,十分
十分,環境
環境,季節
季節,外部
充実,歌
歌,踊り
祭り,クリスマス
クリスマス,お正月
利用,範囲
範囲,普通
普通,特養
質,非常
非常,高い
高い,納得
納得,意味
意味,十分
十分,納得
納得,価格
病院,薬局
非常,好評
好評,美味しい
美味しい,様子
嬉しい,配慮
内容,特別
明るい,元気
楽しい,様子
適切,配置
配置,様々
様々,相談
安心感,提携
提携,病院
病院,搬送
通常,通院
車,送迎
送迎,内科
内科,歯科
歯科,先生
先生,定期的
定期的,訪問
訪問,健康
健康,管理
周辺,緑
緑,景色
景色,交通
交通,不便
不便,最寄り駅
最寄り駅,送迎
送迎,バス
バス,用意
用意,車
訪問,やすい
やすい,駐車場
駐車場,十分
十分,車
車,不便
訪問,丁寧
気軽,問い合わせ
問い合わせ,訪問
訪問,24時間
24時間,可能
訪問,人
人,体調
体調,チェック
チェック,体調
体調,悪い
悪い,人
自宅,近い
近い,感覚
作り,圧迫
開放的,空間
空間,共用
共用,スペース
単位,利用
利用,不便
職員,目
目,やすい
やすい,季節
季節,遠足
遠足,バスツアー
バスツアー,自然
外部,色々
一緒に,参加
参加,配慮
配慮,楽しい
楽しい,特別養護老人ホーム
の・ようなもの,必要
状態,月額
月額,料金
料金,金額
金額,無理
基本的,室
病院,薬
月,大きい
大きい,金額
満足度,意味
意味,非常
非常,高い
高い,栄養
栄養,バランス
状態,メニュー
メニュー,美味しい
方々,満足
刻み,流動食
流動食,人
人,用意
職員,明るい
明るい,雰囲気
穏やか,女性
気軽,声
声,職員
外部,人
人,いい
いい,雰囲気
異変,連絡
連絡,定期的
定期的,医者
病院,通院
通院,必要
協力,病院
病院,事前
事前,診察
診察,予約
通院,職員
職員,数
数,十分
十分,自然環境
徒歩圏内,店
店,車
車,不便
不便,逆
逆,自然環境
自然環境,日常
日常,いい
いい,環境
環境,来客
来客,不便
不便,車
積極的,職員
いい,雰囲気
名前,言葉
言葉,緑
緑,心
内装,外観
印象,上品
上品,調度
調度,綺麗
雰囲気,清掃
清掃,丁寧
清潔,バリアフリー
バリアフリー,車いす
車いす,快適
音,気
気,職員
職員,定期的
定期的,企画
春,お花見
お花見,楽しみ
楽しみ,季節感
企画,ありがたい
ありがたい,カラオケ
カラオケ,ルーム
特別,リーズナブル
リーズナブル,印象
印象,職員
職員,気配り
気配り,清掃
清掃,割高
説明,印象
食器,デザイン
デザイン,明るい
食器,温かい
温かい,温かい
温かい,冷たい
冷たい,冷たい
冷たい,提供
本人,美味しい
パン,美味しい
美味しい,ミキサー
ミキサー,職員
印象,明るい
明るい,アットホーム
アットホーム,雰囲気
雰囲気,職員
挨拶,清潔感
清潔感,気持ちよい
明るい,女性
女性,積極的
声,季節
病院,医療
医療,提携
提携,職員
職員,数
専用,バス
バス,便利
便利,大通り
静か,環境
環境,コンビニ
コンビニ,スーパー
スーパー,車
車,街
街,駐車場
親戚,訪問
訪問,車
緑,豊か
豊か,自然環境
季節感,行事
行事,月
高い,本人
本人,胃瘻
丁寧,親切
親切,説明
説明,いい
看護,体制
体制,複数
自然,車
スーパー,コンビニ
コンビニ,薬局
薬局,道路
安全,静か
静か,駐車場
駐車場,少ない
欲しい,職員
方々,内装
内装,豪華
無い,上品
上品,洗練
洗練,雰囲気
調度,すごい
すごい,ソファ
ソファ,テーブル
テーブル,一つ
一つ,一つ
一つ,高級
面,バリアフリー
バリアフリー,手すり
手すり,場所
場所,完備
完備,トイレ
トイレ,使い勝手
身体,不自由
不自由,無い
無い,利用
利用,やすい
やすい,特養
快適,抜群
喫茶,映画鑑賞
映画鑑賞,カラオケ
カラオケ,ルーム
カルチャー,設備
設備,地域
地域,交流
ホール,外部
外部,方途
方途,交流
交流,メリット
料理,食器
目,美味しい
美味しい,要素
要素,料理
食材,メニュー
介助,関係
関係,特別
特別,関連
高級,デザイン
デザイン,新しい
重厚,雰囲気
雰囲気,個人的
個人的,満足
満足,入浴
入浴,自由
自由,週
週,入浴
入浴,サービス
サービス,実施
好き,好き
好き,入浴
入浴,清潔
専用,バス
バス,駅
駅,移動
移動,バス
バス,移動
移動,便利
便利,近い
近い,駅
印象派,外観
外観,マンション
マンション,綺麗
綺麗,清潔
清潔,印象
気配り,丁寧
丁寧,優しい
優しい,指導
指導,風呂
風呂,明るい
明るい,笑顔
笑顔,楽しい
個室,明るい
バリアフリー,手すり
手すり,すばらしい
すばらしい,レ
レ,Creation
お花見,参加
参加,笑顔
相場,妥当
妥当,金額
金額,月額
納得,金額
金額,事前
事前,資料
資料,味付け
看護,職員
職員,24時間
24時間,常駐
大丈夫,住宅街
住宅街,静か
静か,大型
大型,スーパー
知人,玄関
玄関,応対
応対,親切
親切,丁寧
丁寧,知人
一緒,知人
知人,大変
大変,玄関
玄関,きれい
きれい,マンション
室,個室
個室,プライバシー
プライバシー,面
設置,自分
自分,好み
自宅,延長
延長,生活
生活,個室
心配,グループ
面会,自由
風呂,好き
外出,買い物
買い物,工夫
特養,料金
料金,満足
満足,朝食
パン,食器
利用,好み
好み,誕生
明るい,挨拶
医療機関,提携
近い,アクセス
アクセス,車
車,便利
訪問,制限
海,居室
居室,明るい
明るい,開放的
開放的,清潔
高齢者,体
体,負担
負担,設計
設計,快適
快適,メイン
リゾートホテル,美しい
上品,レストラン
ルーム,シアター
シアター,ルーム
ルーム,多目的ホール
温泉,各種
各種,設備
設備,充実
充実,使い勝手
クリスマス,お正月
お正月,パーティー
パーティー,コンサート
楽しい,交流
交流,色々
色々,アクティビティ
アクティビティ,企画
企画,楽しい
知人,社交ダンス
いい,正直
季節感,メニュー
メニュー,豊富
豊富,有料
有料,各種
各種,介護食
友人,一緒に
便利,スカイラウンジ
スカイラウンジ,オススメ
オススメ,味
味,普通
普通,美味しい
期待,毎日
毎日,飽き
周辺,気
気,レストラン
レストラン,無い
無い,残念
残念,リゾートホテル
リゾートホテル,雰囲気
雰囲気,清掃
清掃,明るい
明るい,開放的
開放的,快適
丁寧,親切
距離感,配慮
日常,ケア
ケア,緊急時
高齢者,必要
必要,サポート
サポート,室内
すごい,生活
センサー,迅速
車,不便
不便,周辺
周辺,スーパー
スーパー,ホームセンター
飲食店,興味
静か,環境
環境,道路
道路,向かい
芦屋,関係
関係,建物
不安,材料
芦屋,運営
運営,親族
親族,ロング
ロング,ライフ
ロイヤル,プラン
プラン,ロング
ロング,ライフ
ライフ,明るい
明るい,開放的
開放的,オススメ
街,芦屋
芦屋,申し分
高め,高級
明るい,レストラン
レストラン,季節
季節,素材
素材,料理
綺麗,24時間
24時間,体制
L・DK,段差
段差,無い
無い,フローリング
同士,行事
行事,開催
開催,友達
友達,美容院
美容院,予約
サービス,神戸市
神戸市,お金
苦手,いい
いい,料理
料理,季節
レストラン,ゴージャス
ゴージャス,笑顔
24時間,体制
体制,具合
具合,悪い
連絡,緑
最高,バス
バス,タクシー
タクシー,便利
便利,母
夫婦,お金
お金,いい
高級,印象
長い,なかった
なかった,建物
不安,基本的
基本的,非常
非常,個人
個人,生活
利用者,自分
物件,自体
自体,手頃
手頃,自分
自分,年
利用,悪い
悪い,月々
個人,個人
日替わり,変化
変化,工夫
工夫,珍しい
美味しい,レストラン
レストラン,雰囲気
雰囲気,印象
印象,いい
いい,挨拶
明るい,訪問者
訪問者,印象
医療,体制
体制,サービス
サービス,利用
利用,体験
健康,管理
浜,複数
複数,バス
バス,利用
利用,不便
不便,ヨットハーバー
魅力,騒音
騒音,訪問者
訪問者,無い
無い,居室
居室,共有
共有,スペース
スペース,素晴らしい
素晴らしい,一言
一言,個室
個室,高級
高級,マンション
マンション,一室
一室,作り
作り,共有
共有,スペース
スペース,シアター
設備,バリアフリー
バリアフリー,完全
完全,車いす
車いす,移動
移動,安全
安全,居住者
楽しい,工夫
工夫,随所
軽い,裕福
裕福,人
人,夫婦
詳しい,金額
生活環境,居室
物足りない,叔母
叔母,夫婦
不満,美味しい
美味しい,悪い
悪い,意味
豪華,普通
品,ゴージャス
方々,他
言葉,礼儀
礼儀,レベル
高い,スーパー
看護,医療
医療,体制
体制,完璧
完璧,叔母
叔母,夫婦
不安,ナイト
ナイト,公共交通機関
公共交通機関,利用
利用,訪問
訪問,便利
便利,立地
立地,個々
レベル,親戚
親戚,方々
外観,高級
高級,高級
佇まい,サービス
サービス,内容
見学,大変
大変,素晴らしい
素晴らしい,内容
内容,生活環境
生活環境,快適
快適,デザイン
デザイン,共用
共用,スペース
スペース,食堂
食堂,個室
個室,大阪
大阪,眺望
眺望,毎日
毎日,生活
生活,快適
快適,個室
個室,自体
バリエーション,L・DK
タイプ,トイレ
トイレ,浴室
浴室,キッチン
キッチン,専用
専用,併設
高級,マンション
マンション,不満
同士,交流
交流,目的
目的,様々
様々,行事
親族,参加
参加,素晴らしい
素晴らしい,各種
新しい,趣味
花見,バスツアー
バスツアー,企画
企画,非常
印象,月額
月額,形
請求,家賃
家賃,相当
相当,金額
金額,当たり
必要,食費
食費,必要
配膳,膳
必要,駐車場
駐車場,利用
サービス,内容
内容,考慮
考慮,高い
高い,金額
レストラン,利用
利用,可能
提供,一般
一般,和食
和食,フレンチ
フレンチ,要素
糖尿病,透析
透析,減塩
減塩,必要
生活,介助
カロリー,配慮
配慮,充実
充実,メニュー
研修,介助
接客,サービス
サービス,満足
満足,24時間
24時間,体制
サービス,入所
大変,満足
医師,常駐
常駐,クリニック
クリニック,併設
併設,外部
外部,治療
大変,安心感
安心感,定期的
定期的,健康診断
遠い,距離
距離,基本的
基本的,路線バス
路線バス,タクシー
タクシー,来訪
マイカー,来訪
来訪,可能
可能,可能
可能,自動車
自動車,利用
アクセス,良好
良好,そば
そば,海
自然環境,大変
大変,良好
高い,サービス
サービス,接客
接客,高級
24時間,常駐
常駐,サービス
サービス,併設
高齢,親族
親族,身
身,大変
大変,魅力
魅力,職員
職員,親切
やすい,バリアフリー
映画,充実
レストラン,おいしい
質,自立
手,やすい
やすい,自立
仕方がない,喫茶
喫茶,開設
開設,ほしい
親切,自立
自立,厳しい
厳しい,いい
いい,手
手,体
体,異変
異変,クリニック
クリニック,看護師
最寄駅,アクセス
アクセス,便利
便利,遠方
遠方,人
人,駐車場
駐車場,残念
残念,天然
天然,温泉
温泉,露天風呂
露天風呂,芦屋
芦屋,浜
豪華,外観
普通,マンション
マンション,豪華
建物,海
バルコニー,スカイラウンジ
スカイラウンジ,芦屋
コンサート,バスツアー
バスツアー,芦屋
芦屋,土地
サービス,高額
高額,明るい
明るい,開放的
開放的,空間
空間,優雅
優雅,レストラン
サービス,四季
四季,旬の食材
旬の食材,豊富
豊富,メニュー
減塩,糖尿病
ダイニング,利用
利用,可能
エントランス,ホール
ホール,コンシェルジュ
コンシェルジュ,サービス
確認,サービス
サービス,看護
クリニック,併設
提携,病院
周辺,商業施設
商業施設,大型
大型,スーパー
ホームセンター,レストラン
ドラッグストア,大型
大型,ショップ
ショップ,芦屋
芦屋,浜
浜,ヨットハーバー
ヨットハーバー,隣接
隣接,おしゃれ
おしゃれ,ヨットハーバー
ヨットハーバー,散歩
散歩,ヨットハーバー
ヨットハーバー,おしゃれ
おしゃれ,レストラン
レストラン,車
車,アクセス
アクセス,やすい
やすい,広い
広い,道路
春,商業施設
商業施設,オープン
一つ,一つ
一つ,家具
家具,こだわり
こだわり,お花見
用意,楽しい
楽しい,自分
自分,健康
健康,状態
状態,参加
参加,サービス
ケア,価格
人,最適
最適,高級
高級,礼儀
礼儀,正しい
24時間,管理
管理,様子
様子,居室
居室,緊急
緊急,コール
コール,設置
設置,万が一
駅,遠い
遠い,ＪＲ
ＪＲ,阪急
阪急,阪神
