上品,たたずまい
阪神,駅
駅,バス
場所,づらい
づらい,大丈夫
天然,温泉
温泉,露天風呂
カラオケ,ルーム
ルーム,図書
図書,静か
芦屋,土地
妥当,金額
金額,旬の食材
旬の食材,こだわり
こだわり,料理
料理,提供
提供,魅力
魅力,体調
体調,介護食
介護食,用意
丁寧,接客
接客,説明
説明,要望
緊急,コール
コール,用意
体制,体調
体調,間
駅,遠い
遠い,シャトルバス
シャトルバス,巡回
巡回,便利
便利,海
海,開放
自立,ワンルーム
ワンルーム,マンション
マンション,間取り
間取り,内装
内装,収納
収納,スペース
スペース,ドア
ドア,居室
居室,ドア
ドア,玄関
玄関,ドア
ドア,イメージ
イメージ,プライベート
プライベート,空間
空間,確保
確保,居室
居室,浴室
浴室,キッチン
キッチン,窓
窓,井草森公園
母,参加
参加,詳しい
ワンルーム,マンション
金額,居室
居室,月額
月額,年金
年金,範囲
範囲,母
母,文句
文句,期待
期待,難しい
難しい,ホーム
居住者,身
看護師,常勤
常勤,人数
人数,充分
充分,胃ろう
夜間,24時間
24時間,医療行為
医療行為,必要
必要,状態
必要,駅
駅,近い
近い,店
店,近い
近い,銀行
銀行,スーパー
近い,公園
公園,井草森公園
井草森公園,距離
やすい,自立
自立,居室
状態,支援
豪華,新しい
新しい,部分
部分,外観
普通,有料
有料,老人
自立,一般
一般,居室
掃除,印象
印象,自然
環境,窓
窓,大きい
大きい,日当たり
洗面,浴室
浴室,手すり
手すり,緊急
緊急,ボタン
可能,知人
独特,匂い
匂い,気
気,誕生日
行事,機能
機能,維持
維持,目的
目的,体
体,レ
レ,Creation
アクティビティ,力
力,知人
知人,参加
同士,関係
関係,良好
良好,友達
農園,自分
自分,野菜
野菜,うれしい
うれしい,ポイント
必要,価格
価格,年齢
自立,知人
知人,月
月,管理費
管理費,食費
食費,要介護
要介護,可能
可能,高い
高い,地域
地域,相場
地域,方々
家庭,味
楽しみ,おいしい
公園,緑
方途,談笑
談笑,温かい
親身,お話
優しい,好感
好感,知人
方途,仲
話,楽しい
アットホーム,雰囲気
雰囲気,人
理由,提携
提携,クリニック
クリニック,存在
存在,話
話,相談
相談,先生
先生,質問
質問,相談
電話,連絡
印象,スーパー
スーパー,家電量販店
家電量販店,いい
関係,長い
長い,場所
場所,大きい
井草森公園,散歩
春,桜
桜,綺麗
綺麗,一緒に
一緒に,散歩
散歩,楽しい
楽しい,居室
居室,普通
普通,自立
自立,居室
居室,ワンルーム
ワンルーム,マンション
居室,可能
可能,大勢
大勢,人
人,苦手
苦手,人
人,それなり
それなり,距離
距離,自分
自分,生活
数,少ない
本人,負担
自分,判断
判断,人
人,温かい
温かい,夜間
夜間,看護師
人数,少ない
医療行為,夜間
夜間,24時間
24時間,医療
医療,措置
措置,必要
必要,駅
駅,スーパー
スーパー,近い
近い,公園
公園,自立
自立,生活
生活,やすい
やすい,環境
親戚,友人
友人,やすい
やすい,見学
無い,ホーム
誕生日,誕生日
誕生日,クリスマス
クリスマス,祭り
祭り,季節
盛りだくさん,非常
非常,充実
充実,栄養士
栄養士,栄養
栄養,バランス
野菜,豊富
豊富,使用
使用,メニュー
メニュー,数多い
豪華,造り
造り,住まい
住まい,雰囲気
近所,公園
公園,周り
周り,緑
クリニック,環境
環境,安心感
安心感,周辺
周辺,買い物
買い物,店
店,数多い
数多い,食品
洋服,遠い
建物,駐車場
駐車場,窓
窓,公園
公園,景色
景色,いい
いい,場所
車椅子,ドア
移動,誕生日
誕生日,敬老会
敬老会,クリスマス
クリスマス,祭り
祭り,さまざま
さまざま,行事
バス,日帰り
日帰り,旅行
方々,退屈
退屈,毎日
毎日,配慮
配慮,自立
月々,消耗品
消耗品,農園
野菜,料理
料理,工夫
気持ちよい,挨拶
挨拶,いろいろ
検討,内科
胃ろう,ケア
ケア,看護士
電話,連絡
連絡,美容院
外,いろいろ
いろいろ,買い物
買い物,外
外,買い物
買い物,便利
便利,そば
そば,スーパー
家電量販店,徒歩
徒歩,駅
別,スーパー
ドラッグストア,銀行
銀行,便利
便利,立地
立地,外観
外観,団地
周り,緑
環境,食堂
食堂,掃除
掃除,気持ち
食堂,井草森公園
清々しい,気分
知人,かなり
かなり,楽しみ
楽しみ,農園
農園,野菜
使用,自分
自分,野菜
野菜,美味しい
美味しい,皆さん
皆さん,ひな祭り
ひな祭り,七夕
七夕,クリスマス
クリスマス,季節
生活,知人
知人,安い
安い,居室
月,管理費
管理費,居室
居室,シンプル
シンプル,清潔感
清潔感,浴室
浴室,妥当
妥当,金額
提携,クリニック
クリニック,先生
先生,親切
親切,気兼ね
健康,不安
不安,質問
知人,病院
病院,先生
アクセス,やすい
やすい,周り
周り,スーパー
スーパー,家電量販店
家電量販店,生活
生活,やすい
井荻駅,徒歩
徒歩,訪問
訪問,やすい
やすい,必要
提携,クリニック
クリニック,魅力
魅力,月
月,喫茶
栄養士,手作り
料金,サービス
提携,クリニック
井荻駅,交通
交通,便
便,すごい
そば,スーパー
スーパー,不便
居室,必要
自分,家具
家具,好感
好感,共有
共有,スペース
面会,一緒
レ,Creation
Creation,頻繁
頻繁,楽しい
状況,一般
一般,居室
居室,資料
情報,相違
古い,部分
部分,妥当
妥当,料金
料金,栄養士
栄養士,バランス
バランス,料理
料理,日
日,お酒
お酒,月
月,喫茶
喫茶,おいしい
要介護,自立
自立,人
元気,生活
生活,様子
様子,病院
病院,連携
連携,万が一
環境,井荻駅
やすい,便利
便利,閑静
閑静,住宅地
住宅地,環境
環境,良好
良好,病院
病院,居室
居室,廊下
外,廊下
廊下,居室
居室,独立
独立,高い
高い,外
外,廊下
共用,図書館
図書館,きれい
きれい,清潔感
掃除,手入れ
手入れ,好感
特徴,非常
非常,いろいろ
サークル,活動
活動,盛ん
盛ん,要介護
要介護,自立
自立,住居
方々,元気
サークル,活動
活動,盛ん
盛ん,自然
自然,残念
残念,当方
身内,要介護
要介護,参加
努力,参加
駅,近
リーズナブル,月額
必要,支給
カバー,可能
可能,食べ物
食べ物,わがまま
わがまま,義母
義母,不満
不満,満足
満足,訪問
昼食,品数
挨拶,気持ち良い
気持ち良い,残念
残念,義母
皆さん,身なり
おしゃれ,お見舞い
様子,非常
印象,訪問
方々,常駐
常駐,内科
内科,外科
外科,病院
処置,早い
徒歩,近い
近い,元気
元気,自立
方々,相当
相当,メリット
メリット,お見舞い
お見舞い,自動車
自動車,駅
駅,近
近,メリット
会社,便利
便利,公園
公園,近所
近所,車いす
車いす,散歩
方々,面倒
把握,感心
建物,新しい
清潔感,廊下
廊下,ピカ
ピカ,ピカ
ピカ,掃除
サービス,利用者
料金,知人
知人,普通
普通,利用者
味,テレビ
テレビ,車椅子
掃除,車椅子
やすい,他
他,老人ホーム
老人ホーム,排泄
排泄,面
面,親切
利用者,駅
駅,遠い
遠い,車
面倒,回数
スペース,広い
フロア,光
光,明るい
明るい,印象的
印象的,行事
行事,定期的
計画,自然
計画,高い
家賃,価格
価格,手頃
手頃,サービス
サービス,納得
栄養,バランス
バランス,季節
人,嫌
嫌,雰囲気
雰囲気,患者
患者,いい
看護師,方々
方々,当たり
当たり,人数
状況,確認
印象,リハビリ
リハビリ,先生
先生,アクセス
アクセス,電車
電車,利用
利用,バス
バス,利用
駅,近い
近い,電車
電車,メイン
メイン,人
人,不便
不便,周辺
周辺,評価
評価,高い
高い,老人ホーム
老人ホーム,見学
見学,理由
大きい,大きい
大きい,広い
広い,狭い
狭い,十分
七夕,夏祭り
夏祭り,行事
行事,ボランティア
ボランティア,人
人,訪問
訪問,収入
収入,少ない
少ない,収入
収入,引き落とし
引き落とし,口座
都市銀行,糖尿
管理,見た目
見た目,きれい
きれい,美味しい
暗い,当たり前
当たり前,広い
広い,暗い
声,日常
少ない,病院
大変,家
家,急
急,付き添い
付き添い,入院
入院,手
状態,電車
電車,バス
バス,バス停
バス停,大変
大変,車
車,無い
無い,にくい
にくい,周り
無い,飲み物
電話,日常
日常,細かい
細かい,説明
説明,丁寧
洋服,他
他,人
管理,洋服
洋服,必要
広い,静か
静か,寂しい
人,人
収入,少ない
少ない,上
上,かなり
かなり,厳しい
厳しい,銀行
都市銀行,ほしい
ほしい,糖尿
管理,料理
料理,満足
満足,隣
隣,人
人,気
少ない,大変
大変,面倒
大変,医療
常勤,医者
医者,病気
病気,元気
元気,車
車,電車
電車,バス
バス,大変
保護,自分
自分,理解
理解,人
個室,手洗い
スペース,テレビ
テレビ,リビング
リビング,スペース
スペース,利用者
利用者,にぎやか
スペース,エレベーター
エレベーター,ホール
ガラス,開放
開放,明るい
明るい,入り口
入り口,間
行事,利用者
庭,行事
行事,隣
隣,保育園
評価,特別
特別,行事
体操,歌
利用,詳しい
詳しい,特別
特別,高い
栄養士,管理
管理,毎日
利用者,好評
好評,季節
季節,メニュー
料理,ケーキ
おいしい,利用者
可能,常食
刻み,ミキサー
ミキサー,提供
提供,可能
雰囲気,明るい
明るい,利用者
利用者,笑顔
生活,いい
いい,刺激
刺激,面会
やすい,フロア
フロア,利用者
利用者,状態
状態,自分
自分,近い
近い,人
人,利用者
リハビリ,定期的
定期的,医師
医師,常駐
常駐,なかった
なかった,看護師
看護師,緊急時
提携,病院
バス,バス停
店,面会
知人,話
個人,個人
個人,自由
自由,生活
生活,入浴
喫茶,訪問
訪問,週
お話し,季節感
季節感,行事
方,ホスピタリティ
建物,使用
使用,建物
建物,広い
可能,数
数,少ない
少ない,設定
設定,一室
一室,広い
広い,ゆとり
ゆとり,室内
室内,雰囲気
中間,雰囲気
非常,重視
重視,いろいろ
いろいろ,設備
設備,庭
庭,演出
演出,自然
自然,快適
快適,生活
生活,目
目,非常
非常,魅力的
魅力的,共有
共有,スペース
スペース,ポイント
ポイント,目
目,自然
自然,重視
重視,様々
庭,中庭
充実,親族
親族,お世話
お世話,季節
季節,様々
非常,楽しみ
楽しみ,記憶
タイプ,個室
個室,利用
高い,価格
価格,設定
設定,家賃
家賃,食費
食費,月額
月額,用意
用意,十分
設定,ゆとり
価格,設定
充実,様々
様々,献立
献立,日替わり
日替わり,提供
提供,味付け
大変,ご飯
提供,いろいろ
非常,形
丁寧,笑顔
笑顔,お見舞い
お見舞い,やすい
嬉しい,ポイント
ポイント,看護師
看護師,機能
機能,訓練
常駐,リハビリ
リハビリ,指導
サポート,充実
充実,医師
医師,常駐
医療機関,連絡
連絡,適切
仲間,急変
不安,必要
徒歩,場所
場所,周辺
周辺,店
店,寂しい
寂しい,場所
車,来訪
近い,コンビニ
コンビニ,徒歩
不便,解放
解放,エントランス
エントランス,太陽
太陽,光
光,やすい
季節感,季節
誕生,祖父
祖父,ボランティア
ボランティア,方途
方途,交流
具体的,金額
金額,不満
不満,祖父
季節,工夫
親切,笑顔
笑顔,素敵
関係,良好
良好,病院
丁寧,自然
環境,アクセス
アクセス,不便
不便,車
車,建物
建物,広い
広い,余裕
余裕,空間
空間,職員
やすい,誕生
誕生,敬老会
敬老会,ボランティア
行事,行事
人,話
話,和やか
和やか,病院
診療所,心配
緑,豊か
豊か,車
駅,遠い
遠い,バス停
バス停,不便
不便,不便
不便,バス停
バス停,バス
残念,見学
広い,自然
自然,明るい
風呂,広め
広い,明るい
明るい,毎日
毎日,体操
行事,力
力,敬老会
敬老会,地域
地域,祭り
祭り,参加
参加,保育園
保育園,運動会
運動会,散歩
散歩,皆さん
パーティー,楽しみ
実施,設備
設備,サービス
サービス,内容
内容,金額
資料,確認
確認,見学
見学,想定内
想定内,個室
個室,金額
金額,満足
満足,見学
管理栄養士,バランス
やすい,メニュー
メニュー,行事
行事,ひな祭り
寿司,季節
弁当,豪華
豪華,親切
親切,丁寧
丁寧,ありがたい
ありがたい,笑顔
車いす,利用
提携,歯科
歯科,病院
看護師,数
健康,状態
状態,管理
管理,ケア
ケア,閑静
閑静,住宅街
住宅街,商業施設
商業施設,便利
便利,車
車,アクセス
アクセス,便利
便利,バス
バス,便利
広い,緑
環境,いい
周辺,環境
環境,静か
静か,建物
建物,新しい
新しい,清掃
清掃,清潔感
清潔感,食堂
食堂,共有
共有,スペース
スペース,広い
広い,開放的
開放的,バリアフリー
バリアフリー,考慮
考慮,居室
居室,個室
個室,タイプ
タイプ,中
プライバシー,確保
確保,やすい
やすい,配慮
看護師,夜間
夜間,常駐
活動,外出
外出,本人
洗濯,洗濯
用意,当方
消耗品,関連
相違,難しい
難しい,図書
図書,充実
同様,回数
回数,内容
内容,認知症
低い,人
人,高い
高い,人
人,幅広い
低い,人
外出,外
サービス,行事
人,好き嫌い
好き嫌い,難しい
月,家賃
家賃,管理費
関連,医療
医療,関連
関連,経費
本人,年金
年金,範囲
範囲,支払
支払,検討
検討,家具
経済的,薬
薬,医療
医療,関連
関連,外出
関連,経費
経費,出費
出費,必要
要介護,無料
支給,医療
活用,経費
経費,残念
おいしい,元気
メニュー,栄養
栄養,バランス
バランス,なかった
なかった,人
人,食品
食品,制限
制限,やすい
やすい,調理
方々,訪問
訪問,通路
通路,通路
通路,挨拶
挨拶,気持ち
忙しい,通常
通常,若い
通常,業務
業務,相違
相違,認知症
認知症,要介護
要介護,高齢者
大変,難しい
自分,確か
確か,最低
看護師,夜間
夜間,常駐
安心感,大勢
大勢,少ない
少ない,人数
人数,細かい
難しい,部分
部分,病院
病院,病気
要介護,高い
高い,寝たきり
寝たきり,高い
高い,人
人,元気
経費,最寄り
駅,周辺
周辺,スーパー
スーパー,コンビニ
コンビニ,飲食店
飲食店,商業施設
商業施設,必要
必要,買い物
買い物,活用
周辺,コンビニ
駅,周辺
周辺,高齢者
高齢者,買い物
買い物,難しい
元気,近所
近所,散歩
訪問者,喫煙
喫煙,外
外,敷地
敷地,特定
特定,場所
開設,新しい
共有,個人
個人,スペース
スペース,清掃
小さい,利用
利用,車椅子
車椅子,利用
入浴,利用
利用,便利
周囲,整備
住宅地,静か
静か,駅
駅,徒歩
徒歩,不便
不便,お花見
お花見,REC
REC,季節
季節,行事
行事,父
透析,参加
参加,行事
行事,様子
写真,楽しい
ありがたい,基本的
基本的,介護保険
介護保険,利用
負担,月
月,父
父,ケア
月,本人
本人,年金
年金,娘
娘,支援
支援,月
月,正直
正直,状態
支払い,厳しい
程度,工夫
楽しみ,父
父,満足
満足,透析
提供,おいしい
おいしい,気
洗濯,看護
看護,職員
職員,自体
丁寧,入れ替わり
看護,職員
職員,透析
透析,クリニック
クリニック,通院
透析,クリニック
クリニック,苦情
苦情,苦情
苦情,通院
通院,支払い
支払い,薬
薬,不満
不満,ホーム
月,往診
入院,ホーム
ホーム,希望
希望,判断
面談,話
話,自分
自分,クリニック
クリニック,透析
透析,病院
病院,自宅
自宅,便利
便利,都内
高額,父
紹介,見学
自宅,交通
交通,便
地域,必要
少ない,不便
不便,見学
くだ,大変
大変,新築
新築,外観
清潔,ピカ
ピカ,ピカ
ピカ,ラウンジ
ラウンジ,面会
印象,積極的
積極的,外出
月,プラン
プラン,高い
高い,印象
印象,サポート
サポート,内容
内容,平均
平均,綺麗
綺麗,食堂
方々,皆さん
皆さん,おいしい
おいしい,味付け
味付け,不満
不満,料理
人,面会
人,当たり前
当たり前,自然
自然,挨拶
人,ケア
ケア,素晴らしい
病院,近所
近所,定期的
定期的,先生
看護師,最寄り駅
最寄り駅,東川口駅
東川口駅,徒歩圏内
徒歩圏内,面会
気,距離
近い,印象
きれい,清潔
広い,暮らし
暮らし,十分
洗面,手洗い
手洗い,生活
中庭,美しい
周辺,高い
高い,建物
ベランダ,残念
各階,食堂
規模,エレベーター
手作り,教室
参加,可能
可能,お出かけ
一緒,要介護
要介護,月額
月額,利用
制度,居宅
居宅,サービス
サービス,利用
利用,介護保険
美味しい,体調
体調,工夫
規模,大きい
大きい,個人
個人,個人的
個人的,アットホーム
アットホーム,好き
廊下,笑顔
笑顔,挨拶
挨拶,住宅
住宅,老人ホーム
予約,居宅
居宅,サービス
サービス,利用
利用,話
居宅,サービス
老人ホーム,道
道,にくい
にくい,面会
面会,知人
知人,お迎え
お迎え,いい
いい,面会
仕事,人
人,難しい
難しい,特養
移動,人
安い,サービス
100人,近い
近い,人
中,新築
新築,キレイ
キレイ,中庭
中庭,介護施設
介護施設,中庭
中庭,完備
完備,珍しい
珍しい,中庭
中庭,キレイ
キレイ,整備
整備,ラウンジ
ラウンジ,ロビー
ロビー,同様
同様,リラックス
レ,Creation
特徴,細かい
細かい,気配り
重要,料金
料金,他
安心感,設備
設備,内容
内容,考慮
考慮,安い
安い,味
味,食堂
食堂,きれい
若い,印象
印象,好感
好感,文句
文句,医療機関
医療機関,歯科
看護師,夜勤
夜勤,常駐
常駐,周辺
周辺,環境
環境,静か
場所,駅
訪問,不便
環境,親戚
親戚,叔母
叔母,様子
様子,綺麗
綺麗,建物
建物,掃除
掃除,建物
居室,共有
共有,スペース
スペース,清潔
清潔,気分
気分,いい
いい,ロビー
ロビー,開放的
開放的,清潔感
行事,正直
正直,叔母
好き,居室
居室,共有
共有,スペース
スペース,太陽
太陽,光
光,気持ちよい
気持ちよい,本
本,環境
環境,最高
定期的,楽しい
楽しい,金額
金額,高い
高い,介護施設
介護施設,相場
体制,平均
新しい,食堂
食堂,清潔
清潔,料理
料理,体制
味,個人
個人,好み
好み,叔母
叔母,不満
不満,雰囲気
場所,電車
電車,駅
駅,車
室,ケア
ケア,コール
コール,完備
室,完備
無い,オープン
大変,きれい
きれい,日当たり
空き,静か
静か,環境
環境,東川口駅
東川口駅,徒歩
徒歩,便利
便利,場所
場所,高齢者
独特,排泄
排泄,訪問
気,おむつ
食堂,共有
共有,スペース
スペース,臭い
花見,季節
季節,行事
行事,趣味
行事,残念
残念,透析
透析,週
通院,参加
参加,行事
行事,参加
参加,透析
月々,支払い
本人,年金
年金,娘
不満,ホーム
ホーム,支払い
支払い,処方
処方,薬
納得,ホーム
病院,透析
医療,ホーム
薬,処方
処方,季節感
季節感,おいしい
おいしい,料理
楽しみ,本人
本人,満足
満足,職員
職員,皆さん
洗濯,請求
請求,通院
本人,嫌
嫌,思い
思い,普通
透析,患者
間,入れ替わり
入れ替わり,通院
なかった,連絡
ホーム,定期的
定期的,往診
往診,苦情
父,通院
十分,医療
医療,ホーム
ホーム,薬
薬,複数
複数,処方
処方,体調
体調,往診
往診,ほしい
職員,体調
体調,変化
見舞い,身
身,不便
不便,周囲
周囲,道路
必要,車
車,道
道,複雑
複雑,案内
医療,体制
入院,病院
病院,入院
入院,許可
許可,大変
大変,ありがたい
ありがたい,建物
バス,トイレ
トイレ,洗面
洗面,ベット
共有,スペース
スペース,リハビリ
リハビリ,スペース
理学療法士,常駐
常駐,風呂
新しい,明るい
明るい,綺麗
綺麗,季節
季節,行事
利用,家賃
家賃,相当
相当,管理費
管理費,食費
食費,合計
非常,リーズナブル
リーズナブル,設定
要介護,管理費
調理,栄養士
栄養士,カロリー
カロリー,計算
声,看護師
看護師,日
日,中
中,常勤
常勤,ケア
常勤,定期的
定期的,医師
医師,歯科
歯科,往診
往診,緊急
総合病院,協力
協力,医療機関
東川口駅,徒歩
徒歩,位置
位置,周り
風景,場所
場所,オープン
オープン,綺麗
シンプル,個室
個室,エントランス
入所,談笑
音楽,コンサート
コンサート,書道
書道,散歩
自然,要介護
要介護,月額
リーズナブル,四季
四季,素材
食堂,美味しい
美味しい,笑顔
明るい,元気
サポート,日
日,中
中,看護士
看護士,常勤
常勤,胃ろう
胃ろう,患者
総合病院,提携
提携,医師
最寄り駅,ＪＲ
東川口駅,駅
共同,スペース
スペース,使用
使用,やすい
やすい,風呂
風呂,要介護
要介護,週
週,入浴
入浴,リハビリ
個室,満足
満足,広い
広い,バリアフリー
バリアフリー,万全
万全,措置
措置,景色
満足,車いす
母,手
参加,残念
料理,工夫
わがまま,美味しい
美味しい,残念
母,食欲
興味,車いす
車いす,外
外,公園
公園,桜
桜,紅葉
紅葉,元気
元気,車いす
数,少ない
少ない,高額
高額,サービス
サービス,納得
複雑,思い
思い,高額
レストラン,サービス
サービス,大変
外部,利用者
納得,支払い
わがまま,美味しい
美味しい,想定内
想定内,美味しい
美味しい,味付け
味付け,薄味
こだわり,パン
忙しい,連絡
連絡,連絡
気持ち,細やか
細やか,介助
介助,食堂
食堂,認知
認知,高齢
高齢,男性
若い,男性
様子,手
手,フロント
看護師,常勤
常勤,母
母,認知
自分,看護師
看護師,医師
印象,ヘルパー
不満,ヘルパー
ヘルパー,嫌
嫌,自分
自分,ヘルパー
対策,トイレ
トイレ,介助
スーパー,公園
公園,自然
自然,豊か
豊か,車いす
車いす,散歩
公園,満足
静か,自分
入所,寂しい
美味しい,パン
人,利用
利用,母
利用,バリアフリー
バリアフリー,車いす
車いす,移動
我が家,参加
参加,状態
おむつ,我が家
本人,銀行口座
銀行口座,引き落とし
引き落とし,なかった
流動食,ミキサー
ミキサー,配膳
配膳,元気
元気,メニュー
開設,義母
きれい,居室
居室,窓
窓,大きい
大きい,明るい
明るい,広い
広い,書道
書道,手芸
手芸,サークル
サークル,参加
参加,人
人,義母
義母,書道
書道,サークル
サークル,参加
参加,祖母
祖母,居室
ロビー,フロア
フロア,小さい
小さい,ショップ
パン,退屈
居室,個室
個室,トイレ
トイレ,広い
広い,やすい
やすい,洗濯機
洗濯機,設置
設置,可能
可能,洗濯
洗濯,クリーニング
クリーニング,サービス
外,元気
元気,人
人,スーパー
スーパー,コンビニ
コンビニ,外
外,買い物
買い物,可能
可能,訪問
訪問,車
車,駐車
駐車,やすい
やすい,やすい
やすい,特養
高額,価値
価値,個室
個室,プライバシー
プライバシー,確保
確保,自由
自由,家具
家具,テレビ
テレビ,冷蔵庫
レストラン,併設
併設,お見舞い
お見舞い,人
人,レストラン
予約,必要
必要,高級
高級,職員
職員,親切
親切,明るい
明るい,価格
屋上,庭
庭,プール
プール,大浴場
ロビー,コンサート
季節,雰囲気
雰囲気,催し
催し,月
月,義母
義母,祖母
不明,不満
不満,レベル
レベル,サービス
サービス,提供
提供,必要
必要,広い
広い,一般
余裕,人
人,無理
無理,個室
個室,狭い
狭い,他
各階,食堂
ご飯,暖かい
暖かい,ごはん
ごはん,幅
メニュー,選択
選択,食欲
食欲,量
食堂,家庭
食堂,全員
温かい,温かい
温かい,味
味,いい
いい,知人
知人,勤務
勤務,印象
知人,訪問
訪問,あいさつ
歯科,併設
便利,内科
内科,診療
診療,持病
持病,人
人,薬
薬,処方
処方,薬局
薬局,状態
状態,悪い
悪い,人
人,病院
看護,体制
体制,知人
知人,勤務
タクシー,夜勤
夜勤,やすい
やすい,団地
やすい,公共交通機関
公共交通機関,にくい
にくい,マイカー
マイカー,やすい
やすい,駐車
駐車,広い
広い,向かい
向かい,スーパー
スーパー,小さい
小さい,ショッピングセンター
ショッピングセンター,コンビニ
コンビニ,ホームセンター
ホームセンター,公園
公園,近い
近い,公共交通機関
公共交通機関,バス停
バス停,バス
バス,本数
本数,団地
団地,本数
本数,最寄り駅
最寄り駅,タクシー
マイカー,便利
便利,いい
いい,公共交通機関
公共交通機関,づらい
喫煙,各階
各階,義母
義母,祖母
祖母,お酒
許可,有料老人ホーム
有料老人ホーム,マンション
マンション,生活
生活,フロア
自由,開設
開設,人気
人気,きれいな
行事,サークル
サークル,楽しい
楽しい,体操
体操,楽しい
価格,高め
高め,おいしい
おいしい,メニュー
印象,外
便利,味
味,行事
元気,優しい
優しい,病院
病院,隣接
不安,医師
医師,巡回
巡回,元気
元気,車
便利,近隣
外,づらい
づらい,見学
見学,ケーキ
ケーキ,飲み物
飲み物,親切
親切,建物
建物,自体
自体,新しい
新しい,売店
売店,レストラン
レストラン,病院
内容,悪い
花見,紅葉狩り
紅葉狩り,車
車,写真
写真,弁当
月額,大変
大変,金額
金額,本人
本人,お金
お金,年金
年金,我が家
我が家,自分
自分,金額
金額,おむつ
安い,いい
大変,不満
食欲,母
外部,提供
提供,廊下
不満,改善
楽しみ,一つ
一つ,改善
改善,ほしい
自体,新しい
新しい,レストラン
レストラン,売店
売店,ロビー
ロビー,広い
広い,受付
受付,訪問者
訪問者,チェック
チェック,満足
人数,内科
内科,歯科
提携,病院
便利,スーパー
スーパー,薬局
面会,アクセス
周り,環境
環境,いい
いい,お酒
喫煙,ルーム
ルーム,自室
日常生活,元気
元気,自由
訪問,連絡
連絡,電話
いい,男性
男性,若い
若い,ヘルパー
ヘルパー,教育
教育,行事
母,参加
高額,十分
十分,サービス
間,母
母,参加
参加,各階
各階,看護師
郊外,車
レストラン,昼食
公園,車椅子
車椅子,散歩
散歩,冬
冬,寒い
最後,ベット
ベット,日常
日常,生活
生活,自由
自由,入浴
喫煙,楽しみ
新しい,清潔
トイレ,十分
十分,スペース
窓,風景
風景,解放
解放,個室
プライバシー,防音
防音,各階
各階,食堂
風呂,別
別,場所
場所,職員
職員,不便
不便,場所
場所,駅
駅,車
車,駐車場
駐車場,広い
広い,一般
やすい,食堂
食堂,売店
売店,フロント
催し,フロント
フロント,室内
催し,開催
一緒に,歌
いろいろ,種類
種類,行事
買い物,クラブ
趣味,設備
高め,サービス
サービス,充実
充実,病院
安い,サービス
サービス,質
質,欲しい
サービス,バランス
内容,ごはん
提供,具合
具合,悪い
悪い,自室
自室,職員
職員,若い
印象,挨拶
挨拶,笑顔
笑顔,応対
応対,明るい
明るい,雰囲気
明るい,清潔感
具合,悪い
悪い,病院
病院,運営
他,病院
車,駐車場
駐車場,広い
広い,スーパー
スーパー,銀行
銀行,コンビニ
コンビニ,ホームセンター
レストラン,売店
売店,郊外
郊外,緑
静か,場所
場所,最初
最初,不安
十分,説明
暗い,雰囲気
エントランス,調度
豪華,雰囲気
玄関,部分
部分,上品
共有,スペース
スペース,居室
居室,通常
利用,可能
可能,収納
トイレ,車いす
低い,やすい
ポイント,バルコニー
バルコニー,窓
窓,ガラス
入所,娯楽
娯楽,提供
提供,カルチャー
カルチャー,関連
関連,娯楽
娯楽,手芸
REC,人気
人気,皆さん
皆さん,お茶
お茶,談笑
無い,形
家賃,食費
発生,月額
月額,合計
合計,程度
程度,老人ホーム
老人ホーム,料金
料金,高め
種類,選択
選択,好き
好き,糖尿病
糖尿病,刻み
安心感,内容
高齢者,メニュー
若い,元気
元気,男性
男性,医療
医療,提携
提携,クリニック
隣接,場所
治療,内科
内科,主
主,外科
外科,治療
治療,必要
必要,別
別,病院
病院,利用
担当,内容
内容,十分
住宅街,店
店,地域
散歩,最寄り駅
駐車場,お見舞い
お見舞い,車
車,オーケー株式会社
オーケー株式会社,広い
個室,プライバシー
プライバシー,保護
満足,室内
